direction,seed,component,kind,side,sublayer,layer,train_d_toxic_vs_reference,train_auc_toxic_vs_reference,dev_d_toxic_vs_reference,dev_auc_toxic_vs_reference,dev_d_toxic_vs_generated,dev_auc_toxic_vs_generated,dev_d_copy_vs_ordinary,dev_auc_copy_vs_ordinary,dev_d_template_vs_ordinary,dev_auc_template_vs_ordinary,control_language_max_auc,control_corr_token_count,train_rows_per_cell,dev_rows_per_cell,language_balanced
probe,1337,dec.mlp.L6.n1408,neuron,decoder,mlp,6,-0.09071441,0.43957551567513053,-0.109338544,0.442259818117157,-0.026761256,0.4767142542634083,-0.07433368,0.4508649245491351,0.6594575,0.6789044289044289,0.903692272519433,-0.09361814993095971,122,27,True
probe,1337,dec.mlp.L6.n1409,neuron,decoder,mlp,6,-0.35634157,0.37940152819665496,-0.340602,0.3814120476214669,-0.229833,0.415815678504293,0.048662703,0.528156054471844,-0.40123126,0.37121212121212127,0.7670324645633287,0.0037342732178031416,122,27,True
probe,1337,dec.mlp.L6.n1410,neuron,decoder,mlp,6,-0.026555987,0.49932316083888245,-0.034125738,0.49682467103591926,-0.027379723,0.5071127368795407,0.2576915,0.5876886271623114,0.45033437,0.6384032634032634,0.9242493522328914,0.1322803433483216,122,27,True
probe,1337,dec.mlp.L6.n1411,neuron,decoder,mlp,6,-0.23407611,0.4344643846569852,-0.28600156,0.42603600399668073,-0.18532275,0.4516164541313146,0.21563888,0.5613728376886271,0.5630538,0.7182400932400933,0.832609358329523,-0.2615653017470129,122,27,True
probe,1337,dec.mlp.L6.n1412,neuron,decoder,mlp,6,-0.011911014,0.5086620482347438,-0.023322085,0.4859862148385239,-0.0018446132,0.5076377246016021,-0.47898033,0.3417372101582628,0.2246939,0.5623543123543123,0.7253848498704465,-0.16454790420867282,122,27,True
probe,1337,dec.mlp.L6.n1413,neuron,decoder,mlp,6,-0.024001006,0.4920197676849115,0.048337396,0.5090179342579891,-0.08467405,0.47643482531456927,-0.022876475,0.5032204637467795,-1.0487335,0.22610722610722608,0.7680803231214753,0.1338585749846883,122,27,True
probe,1337,dec.mlp.L6.n1414,neuron,decoder,mlp,6,-0.13017504,0.4770588020610417,-0.18385276,0.4585344375010584,-0.03556979,0.49857745262409187,0.077338435,0.5311924917188076,-0.34628963,0.3677156177156177,0.8488797439414723,0.05667796352753366,122,27,True
probe,1337,dec.mlp.L6.n1415,neuron,decoder,mlp,6,0.0039287983,0.49789731951785154,0.00788596,0.4958085657674135,-0.15246437,0.4567308506494606,-0.19237395,0.43963930806036067,-0.41325057,0.3543123543123543,0.7743103185490017,-0.1839007286595055,122,27,True
probe,1337,dec.mlp.L6.n1416,neuron,decoder,mlp,6,0.055708997,0.5106718292241896,0.10509293,0.5210079764263578,-0.13550632,0.47101559721587155,-0.08966296,0.4800331247699669,0.13958773,0.5055361305361306,0.7948864502362445,-0.05100803411742091,122,27,True
probe,1337,dec.mlp.L6.n1417,neuron,decoder,mlp,6,-0.051354386,0.4806607310526508,-0.027303042,0.47323409371877595,0.23980582,0.5488069230638961,-0.17805518,0.44138755980861244,0.32423612,0.6153846153846154,0.7996113397347966,-0.0963389207794169,122,27,True
probe,1337,dec.mlp.L6.n1418,neuron,decoder,mlp,6,-0.08832066,0.4850929492602878,-0.10841527,0.4805331165642094,0.16336134,0.542269979169842,-0.038833182,0.5010121457489879,-0.3096279,0.34149184149184153,0.8470317024843774,0.13412249850519062,122,27,True
probe,1337,dec.mlp.L6.n1419,neuron,decoder,mlp,6,-0.013310535,0.46391352384365014,-0.13547994,0.4378736303747735,-0.11040304,0.447772189198801,0.27352673,0.5622929701877071,0.20491149,0.5101981351981352,0.7442653558908703,0.09891131714517692,122,27,True
probe,1337,dec.mlp.L6.n1420,neuron,decoder,mlp,6,0.023422612,0.5042924542387053,0.045154925,0.5132347711222882,0.14239645,0.5410591203915392,0.0017821568,0.47635259477364744,0.07769398,0.5428321678321679,0.8113283036122543,-0.0024133559063755795,122,27,True
probe,1337,dec.mlp.L6.n1421,neuron,decoder,mlp,6,-0.13101777,0.47778292042826664,-0.14791441,0.49277718504970447,-0.024859155,0.4952158376941185,-0.35015434,0.39915347810084656,1.1070673,0.6704545454545454,0.9121513488797439,-0.23495187696722614,122,27,True
probe,1337,dec.mlp.L6.n1422,neuron,decoder,mlp,6,0.11482144,0.5119425615707976,0.115380555,0.5151992413080662,0.3700462,0.5485359616589612,0.17038412,0.5479389032020611,-1.1453804,0.28292540792540793,0.876219326322207,0.13126748937312863,122,27,True
probe,1337,dec.mlp.L6.n1423,neuron,decoder,mlp,6,-0.05885818,0.49698242540668414,-0.11405048,0.48425883588206403,-0.06875306,0.4842503683381598,0.22230926,0.5534596981965403,-0.18588038,0.3581002331002331,0.8400777320530406,0.10352983292218038,122,27,True
probe,1337,dec.mlp.L6.n1424,neuron,decoder,mlp,6,-0.068825975,0.49557317328077877,-0.13921975,0.48200646920354284,0.06517105,0.5464868160341412,-0.20443273,0.41709606183290393,0.16862088,0.594988344988345,0.602213839353757,-0.027559127778956166,122,27,True
probe,1337,dec.mlp.L6.n1425,neuron,decoder,mlp,6,0.12772124,0.5241264959306705,0.18546483,0.5412792765330487,0.04231415,0.5175278158817254,-0.0020024355,0.48776223776223776,0.48890668,0.6381118881118881,0.769718792866941,0.03859367420192973,122,27,True
probe,1337,dec.mlp.L6.n1426,neuron,decoder,mlp,6,0.18511195,0.5490534205261429,0.1749736,0.5441921116360988,0.32167974,0.532430693153144,0.3340594,0.6116120721383879,-0.15535417,0.5142773892773893,0.8898224356043286,0.2192018623670679,122,27,True
probe,1337,dec.mlp.L6.n1427,neuron,decoder,mlp,6,-0.0011575168,0.4878898875584355,-0.07499543,0.47799285339294484,-0.1068279,0.4523954681705024,-0.04702782,0.4855539197644461,-0.35930845,0.3956876456876457,0.7350632525529646,0.1596526262195092,122,27,True
