component,kind,side,sublayer,layer,train_d,dev_d_tox_ref,dev_d_tox_gen,dev_d_copy,dev_d_template,lang_auc,len_corr,n_seeds,direction,contrast,rank
dec.cross.L5.head7,head,decoder,cross,5,-1.5910724,-1.5717143,-0.86523277,0.22842042,-1.8642993,0.702103337905807,-0.06037385164593443,3,probe,toxic_vs_reference,1
dec.self.L6.head5,head,decoder,self,6,-1.4863881,-1.5449492,-0.78349537,0.050590605,-0.54252714,0.6986803332825281,-0.31219229413698235,3,probe,toxic_vs_reference,2
dec.self.L6.head0,head,decoder,self,6,-1.41259,-1.5234632,-0.7946152,0.2590236,-0.63674146,0.6714741147182849,-0.2094335272225707,3,probe,toxic_vs_reference,3
dec.cross.L2.head1,head,decoder,cross,2,-1.4489311,-1.4808716,-0.853483,0.16298324,-1.8419542,0.6734364680180868,-0.006303937210107548,3,probe,toxic_vs_reference,4
dec.cross.L3.head3,head,decoder,cross,3,-1.3901783,-1.4300929,-0.7137394,-0.15601104,-0.2091748,0.7930511100950058,-0.15365415694228327,3,probe,toxic_vs_reference,5
dec.cross.L0.head9,head,decoder,cross,0,-1.3478031,-1.3862691,-0.77257603,0.10843589,-1.5167427,0.6847533404460702,-0.09921296222861364,3,probe,toxic_vs_reference,6
dec.self.L4.head2,head,decoder,self,4,-1.3107586,-1.34754,-0.7411292,0.06441416,-0.11910909,0.7400104150790021,-0.1142234502903584,3,probe,toxic_vs_reference,7
dec.cross.L6.head9,head,decoder,cross,6,-1.314545,-1.2809439,-0.65568894,-0.18150832,-0.7618582,0.6993979576284103,0.03895793995266226,3,probe,toxic_vs_reference,8
dec.cross.L6.head3,head,decoder,cross,6,-1.0932392,-1.1888336,-0.51239014,-0.60180867,0.76942474,0.8497942386831276,-0.23649550269954578,3,probe,toxic_vs_reference,9
dec.cross.L4.head4,head,decoder,cross,4,-1.0258541,-1.1349076,-0.4567908,-0.40948772,0.5123817,0.9046512218665853,-0.14753502350286882,3,probe,toxic_vs_reference,10
dec.self.L4.head0,head,decoder,self,4,-1.0114628,-1.1336432,-0.59352314,-0.105271004,0.9803221,0.8573705735914241,-0.45412232850277406,3,probe,toxic_vs_reference,11
dec.cross.L5.head4,head,decoder,cross,5,-1.162506,-1.1085218,-0.6244795,0.14575179,-0.5418621,0.7377495808565767,-0.09359022728104278,3,probe,toxic_vs_reference,12
dec.self.L6.head6,head,decoder,self,6,1.0417324,1.0746332,0.51461005,0.24302661,-0.479807,0.8685731341767008,0.10201341593295861,3,probe,toxic_vs_reference,13
dec.self.L4.head5,head,decoder,self,4,-0.90016025,-0.9154901,-0.3747201,0.2805579,0.34213507,0.7805339633185998,-0.15882728327906662,3,probe,toxic_vs_reference,14
dec.self.L3.head9,head,decoder,self,3,-0.8556099,-0.90542084,-0.63293236,0.12508018,0.21840435,0.820092211553117,-0.21956734003104747,3,probe,toxic_vs_reference,15
dec.self.L6.head8,head,decoder,self,6,0.86573035,0.89798856,0.4401933,0.022965863,-1.1894222,0.8605967078189299,0.05671481242561615,3,probe,toxic_vs_reference,16
dec.cross.L6.head5,head,decoder,cross,6,-0.8874662,-0.89064735,-0.3424368,-0.30317572,0.54906654,0.8822143474063914,-0.24258102958583824,3,probe,toxic_vs_reference,17
dec.cross.L2.head4,head,decoder,cross,2,-0.8075786,-0.872556,-0.43632087,0.18316655,-0.4904138,0.774208708022151,-0.1488577560955373,3,probe,toxic_vs_reference,18
dec.cross.L3.head5,head,decoder,cross,3,-0.92710525,-0.8583701,-0.59370285,0.04331464,-0.13374299,0.7691345323375502,-0.22683778764426865,3,probe,toxic_vs_reference,19
enc.self.L11.head2,head,encoder,self,11,-0.79067993,-0.8439711,-0.39012516,-0.19397916,-0.40872312,0.8271858964588731,-0.10760014612946904,3,probe,toxic_vs_reference,20
enc.self.L11.head1,head,encoder,self,11,-0.8626488,-0.8421776,-0.48634425,0.12371892,-1.3943609,0.6725473759081441,0.12045787181697527,3,probe,toxic_vs_reference,21
dec.cross.L3.head0,head,decoder,cross,3,0.8579543,0.8363118,0.535285,-0.1668526,0.5073111,0.7259754610577657,0.19114866831774666,3,probe,toxic_vs_reference,22
dec.self.L6.head7,head,decoder,self,6,-0.7267263,-0.82995224,-0.25045946,-0.2512277,0.7393308,0.8545953360768176,-0.2984811339043692,3,probe,toxic_vs_reference,23
dec.self.L3.head1,head,decoder,self,3,0.74200565,0.8279597,0.44632092,-0.20919763,0.015346125,0.8368007925621095,-0.14183367705072644,3,probe,toxic_vs_reference,24
dec.self.L3.head5,head,decoder,self,3,-0.75796914,-0.8229634,-0.47789004,-0.15978369,-0.010684299,0.8371945333536553,-0.32789858961654444,3,probe,toxic_vs_reference,25
dec.mlp.L6.n154,neuron,decoder,mlp,6,-1.0271105,-1.1925131,-0.45949838,-0.36325645,-0.10280755,0.8038345272570239,-0.42308058460665926,3,probe,toxic_vs_reference,1
dec.mlp.L6.n1663,neuron,decoder,mlp,6,1.1407365,1.128695,0.36572686,-0.14583011,0.4715865,0.6513615810597978,0.154750580929674,3,probe,toxic_vs_reference,2
dec.mlp.L6.n437,neuron,decoder,mlp,6,-1.0899905,-1.0915262,-0.58153176,0.05895714,-0.21914534,0.7741579027587259,-0.2758560426660099,3,probe,toxic_vs_reference,3
dec.mlp.L6.n1006,neuron,decoder,mlp,6,-1.0280261,-1.090753,-0.44785726,-0.03785714,-0.12588458,0.812064979931921,-0.3055946358536994,3,probe,toxic_vs_reference,4
enc.mlp.L8.n1167,neuron,encoder,mlp,8,1.0256714,1.0827924,0.55229765,-0.45204452,0.5024927,0.7025478839607784,0.06429526765253481,3,probe,toxic_vs_reference,5
dec.mlp.L4.n1181,neuron,decoder,mlp,4,-0.9497573,-1.0593168,-0.37747097,-0.40015194,1.7370099,0.9179431489102271,-0.2477207359079129,3,probe,toxic_vs_reference,6
dec.mlp.L6.n76,neuron,decoder,mlp,6,-0.9506286,-1.0277897,-0.41139683,0.2210641,-0.07783926,0.7589544276787074,-0.15139409765445477,3,probe,toxic_vs_reference,7
dec.mlp.L6.n225,neuron,decoder,mlp,6,-0.8735489,-0.9888768,-0.3786341,-0.10231393,0.7778652,0.8932390895696795,-0.172627067554051,3,probe,toxic_vs_reference,8
enc.mlp.L8.n2009,neuron,encoder,mlp,8,0.77762276,0.9884513,0.4956086,0.09917468,0.9701216,0.7048849260783417,-0.008577112914354458,3,probe,toxic_vs_reference,9
dec.mlp.L6.n401,neuron,decoder,mlp,6,0.8542257,0.95231867,0.35402486,-0.18546931,0.053307205,0.7080539043844943,0.23522812502458068,3,probe,toxic_vs_reference,10
dec.mlp.L6.n44,neuron,decoder,mlp,6,0.9721978,0.9389898,0.46616873,-0.116904356,0.22792292,0.7759106843468984,0.3271859326663884,3,probe,toxic_vs_reference,11
enc.mlp.L6.n1688,neuron,encoder,mlp,6,1.0023764,0.93774384,0.52619475,-0.16235776,1.0632188,0.679113956205863,0.15342485808597908,3,probe,toxic_vs_reference,12
enc.mlp.L8.n10,neuron,encoder,mlp,8,-0.94787097,-0.9376745,-0.55015135,0.092474334,-0.33035105,0.7741960067062948,-0.23933860288685416,3,probe,toxic_vs_reference,13
dec.mlp.L6.n164,neuron,decoder,mlp,6,0.766671,0.8720879,0.3474097,0.118920706,-0.027903989,0.7813849514809735,0.2491518883929252,3,probe,toxic_vs_reference,14
dec.mlp.L6.n1960,neuron,decoder,mlp,6,-0.8240326,-0.863271,-0.4885312,0.13549885,-1.4943453,0.7338312249149012,0.010094156566909198,3,probe,toxic_vs_reference,15
enc.mlp.L6.n1962,neuron,encoder,mlp,6,-0.8023079,-0.8567682,-0.55372,0.20236294,-0.9427106,0.701906467510034,-0.11568033206599372,3,probe,toxic_vs_reference,16
dec.mlp.L6.n1854,neuron,decoder,mlp,6,-0.82533735,-0.85386276,-0.39392185,-0.06927633,-0.023428475,0.870471980897221,-0.3170221123552436,3,probe,toxic_vs_reference,17
dec.mlp.L6.n1743,neuron,decoder,mlp,6,0.8480112,0.8157992,0.40802154,-0.1332594,0.3316938,0.7692424935223289,0.44927400652736504,3,probe,toxic_vs_reference,18
dec.mlp.L4.n1128,neuron,decoder,mlp,4,-0.7368733,-0.81189203,-0.531076,-0.06289768,0.1846363,0.7465452420870803,-0.27113359718153784,3,probe,toxic_vs_reference,19
enc.mlp.L8.n836,neuron,encoder,mlp,8,0.7401977,0.8042836,0.31028935,-0.08233487,-0.16146629,0.8187649240461313,0.08050766967543456,3,probe,toxic_vs_reference,20
enc.mlp.L8.n1958,neuron,encoder,mlp,8,-0.7765848,-0.7998047,-0.60080385,0.24329019,-1.448884,0.6241934664431236,0.05695888898466006,3,probe,toxic_vs_reference,21
dec.mlp.L4.n649,neuron,decoder,mlp,4,0.72022504,0.7995446,0.30348322,0.116673976,-0.5566864,0.7871449982218158,0.03208257601953713,3,probe,toxic_vs_reference,22
enc.mlp.L4.n1303,neuron,encoder,mlp,4,-0.7384682,-0.7879495,-0.5788854,0.069354296,-1.3378414,0.7942323324696439,-0.14216049177184925,3,probe,toxic_vs_reference,23
enc.mlp.L8.n637,neuron,encoder,mlp,8,-0.75945204,-0.78590804,-0.47942257,0.08674532,-1.117792,0.6713344002438651,0.17530188232545318,3,probe,toxic_vs_reference,24
enc.mlp.L6.n1119,neuron,encoder,mlp,6,-0.73285896,-0.7841196,-0.38485205,0.039762083,-0.54926187,0.6776660061982422,-0.12160000587340179,3,probe,toxic_vs_reference,25
dec.cross.L5.head7,head,decoder,cross,5,-1.5910724,-1.5717143,-0.86523277,0.22842042,-1.8642993,0.702103337905807,-0.06037385164593443,3,probe,toxic_vs_generated,1
dec.cross.L2.head1,head,decoder,cross,2,-1.4489311,-1.4808716,-0.853483,0.16298324,-1.8419542,0.6734364680180868,-0.006303937210107548,3,probe,toxic_vs_generated,2
dec.self.L6.head0,head,decoder,self,6,-1.41259,-1.5234632,-0.7946152,0.2590236,-0.63674146,0.6714741147182849,-0.2094335272225707,3,probe,toxic_vs_generated,3
dec.self.L6.head5,head,decoder,self,6,-1.4863881,-1.5449492,-0.78349537,0.050590605,-0.54252714,0.6986803332825281,-0.31219229413698235,3,probe,toxic_vs_generated,4
dec.cross.L0.head9,head,decoder,cross,0,-1.3478031,-1.3862691,-0.77257603,0.10843589,-1.5167427,0.6847533404460702,-0.09921296222861364,3,probe,toxic_vs_generated,5
dec.self.L4.head2,head,decoder,self,4,-1.3107586,-1.34754,-0.7411292,0.06441416,-0.11910909,0.7400104150790021,-0.1142234502903584,3,probe,toxic_vs_generated,6
dec.cross.L3.head3,head,decoder,cross,3,-1.3901783,-1.4300929,-0.7137394,-0.15601104,-0.2091748,0.7930511100950058,-0.15365415694228327,3,probe,toxic_vs_generated,7
dec.cross.L6.head9,head,decoder,cross,6,-1.314545,-1.2809439,-0.65568894,-0.18150832,-0.7618582,0.6993979576284103,0.03895793995266226,3,probe,toxic_vs_generated,8
dec.self.L3.head9,head,decoder,self,3,-0.8556099,-0.90542084,-0.63293236,0.12508018,0.21840435,0.820092211553117,-0.21956734003104747,3,probe,toxic_vs_generated,9
dec.cross.L5.head4,head,decoder,cross,5,-1.162506,-1.1085218,-0.6244795,0.14575179,-0.5418621,0.7377495808565767,-0.09359022728104278,3,probe,toxic_vs_generated,10
dec.self.L2.head4,head,decoder,self,2,-0.5470853,-0.42552432,-0.60768664,0.26145598,-0.62194884,0.7044403800233704,-0.20039610716685408,3,probe,toxic_vs_generated,11
dec.cross.L3.head5,head,decoder,cross,3,-0.92710525,-0.8583701,-0.59370285,0.04331464,-0.13374299,0.7691345323375502,-0.22683778764426865,3,probe,toxic_vs_generated,12
dec.self.L4.head0,head,decoder,self,4,-1.0114628,-1.1336432,-0.59352314,-0.105271004,0.9803221,0.8573705735914241,-0.45412232850277406,3,probe,toxic_vs_generated,13
dec.self.L5.head3,head,decoder,self,5,0.6310113,0.7353897,0.54154354,0.03153793,0.193762,0.7518924960625921,-0.04345587079854329,3,probe,toxic_vs_generated,14
dec.cross.L3.head0,head,decoder,cross,3,0.8579543,0.8363118,0.535285,-0.1668526,0.5073111,0.7259754610577657,0.19114866831774666,3,probe,toxic_vs_generated,15
dec.cross.L2.head3,head,decoder,cross,2,-0.46752802,-0.3783835,-0.5179789,0.45895216,-1.5290589,0.7885929482294366,0.05136447850626774,3,probe,toxic_vs_generated,16
dec.self.L6.head6,head,decoder,self,6,1.0417324,1.0746332,0.51461005,0.24302661,-0.479807,0.8685731341767008,0.10201341593295861,3,probe,toxic_vs_generated,17
dec.cross.L6.head3,head,decoder,cross,6,-1.0932392,-1.1888336,-0.51239014,-0.60180867,0.76942474,0.8497942386831276,-0.23649550269954578,3,probe,toxic_vs_generated,18
dec.cross.L5.head11,head,decoder,cross,5,0.79244757,0.7811287,0.49431828,0.19837202,0.16120027,0.7908537824518621,-0.007037121552303284,3,probe,toxic_vs_generated,19
dec.cross.L3.head1,head,decoder,cross,3,-0.7881508,-0.781655,-0.4906784,0.0051952004,-0.6815861,0.7796575725245135,0.22734798622030983,3,probe,toxic_vs_generated,20
enc.self.L11.head1,head,encoder,self,11,-0.8626488,-0.8421776,-0.48634425,0.12371892,-1.3943609,0.6725473759081441,0.12045787181697527,3,probe,toxic_vs_generated,21
dec.self.L5.head8,head,decoder,self,5,0.6702795,0.61274344,0.48244083,-0.12677239,1.2313765,0.805453945028705,-0.3138213639644047,3,probe,toxic_vs_generated,22
dec.self.L1.head3,head,decoder,self,1,0.4970491,0.4791555,0.47838393,-0.40553454,1.4146987,0.6870713305898491,0.2057585392978077,3,probe,toxic_vs_generated,23
dec.self.L3.head5,head,decoder,self,3,-0.75796914,-0.8229634,-0.47789004,-0.15978369,-0.010684299,0.8371945333536553,-0.32789858961654444,3,probe,toxic_vs_generated,24
dec.self.L1.head7,head,decoder,self,1,0.49241257,0.4208986,0.47568408,-0.3158284,1.5259811,0.6291279276533049,0.07123364534460001,3,probe,toxic_vs_generated,25
enc.mlp.L8.n1958,neuron,encoder,mlp,8,-0.7765848,-0.7998047,-0.60080385,0.24329019,-1.448884,0.6241934664431236,0.05695888898466006,3,probe,toxic_vs_generated,1
enc.mlp.L6.n1944,neuron,encoder,mlp,6,-0.64738417,-0.6604461,-0.5846316,0.33715943,-1.979207,0.718475334044607,0.12809369377234237,3,probe,toxic_vs_generated,2
dec.mlp.L6.n437,neuron,decoder,mlp,6,-1.0899905,-1.0915262,-0.58153176,0.05895714,-0.21914534,0.7741579027587259,-0.2758560426660099,3,probe,toxic_vs_generated,3
enc.mlp.L4.n1303,neuron,encoder,mlp,4,-0.7384682,-0.7879495,-0.5788854,0.069354296,-1.3378414,0.7942323324696439,-0.14216049177184925,3,probe,toxic_vs_generated,4
dec.mlp.L6.n1018,neuron,decoder,mlp,6,0.6848383,0.5902419,0.57337594,-0.47867298,1.3854237,0.7737768632830361,0.0020872730656685684,3,probe,toxic_vs_generated,5
enc.mlp.L6.n785,neuron,encoder,mlp,6,-0.64854985,-0.69039243,-0.5667684,0.24403708,-1.277585,0.6537748310724991,-0.04888809992771753,3,probe,toxic_vs_generated,6
enc.mlp.L4.n609,neuron,encoder,mlp,4,0.6693532,0.73113877,0.5659584,-0.14409259,1.2429479,0.6745033785500177,-0.17762857750870387,3,probe,toxic_vs_generated,7
enc.mlp.L6.n607,neuron,encoder,mlp,6,-0.7163581,-0.7134052,-0.5627973,0.31701314,-1.4727482,0.681717725956409,0.07878524414262622,3,probe,toxic_vs_generated,8
enc.mlp.L6.n1962,neuron,encoder,mlp,6,-0.8023079,-0.8567682,-0.55372,0.20236294,-0.9427106,0.701906467510034,-0.11568033206599372,3,probe,toxic_vs_generated,9
enc.mlp.L8.n1167,neuron,encoder,mlp,8,1.0256714,1.0827924,0.55229765,-0.45204452,0.5024927,0.7025478839607784,0.06429526765253481,3,probe,toxic_vs_generated,10
enc.mlp.L8.n10,neuron,encoder,mlp,8,-0.94787097,-0.9376745,-0.55015135,0.092474334,-0.33035105,0.7741960067062948,-0.23933860288685416,3,probe,toxic_vs_generated,11
enc.mlp.L6.n800,neuron,encoder,mlp,6,-0.54366636,-0.58879167,-0.54599947,0.3037897,-1.4229541,0.665771223898796,0.03761717181951891,3,probe,toxic_vs_generated,12
enc.mlp.L6.n525,neuron,encoder,mlp,6,0.682782,0.6367837,0.5399508,-0.3495443,1.3366653,0.8736155565716608,-0.06991336011118819,3,probe,toxic_vs_generated,13
enc.mlp.L8.n1700,neuron,encoder,mlp,8,-0.5782626,-0.6491691,-0.5388697,0.10650697,-1.3691944,0.8401983945536758,-0.04768477103179435,3,probe,toxic_vs_generated,14
enc.mlp.L4.n1243,neuron,encoder,mlp,4,-0.6967831,-0.72730947,-0.53359634,0.2394258,-0.9905407,0.595837778793883,0.03195207311957465,3,probe,toxic_vs_generated,15
dec.mlp.L4.n1128,neuron,decoder,mlp,4,-0.7368733,-0.81189203,-0.531076,-0.06289768,0.1846363,0.7465452420870803,-0.27113359718153784,3,probe,toxic_vs_generated,16
enc.mlp.L4.n261,neuron,encoder,mlp,4,0.62627053,0.605711,0.52971303,-0.22001636,1.6401505,0.734415485444292,-0.2497096210475622,3,probe,toxic_vs_generated,17
enc.mlp.L6.n1688,neuron,encoder,mlp,6,1.0023764,0.93774384,0.52619475,-0.16235776,1.0632188,0.679113956205863,0.15342485808597908,3,probe,toxic_vs_generated,18
enc.mlp.L6.n536,neuron,encoder,mlp,6,-0.70480466,-0.6754119,-0.52046067,0.17174499,-1.1934929,0.7620408474317939,0.0407399794490706,3,probe,toxic_vs_generated,19
dec.mlp.L4.n162,neuron,decoder,mlp,4,0.23524122,0.20645235,0.5197255,0.02284219,0.026779696,0.6834578062287253,0.12049137056791959,3,probe,toxic_vs_generated,20
enc.mlp.L8.n16,neuron,encoder,mlp,8,0.5842285,0.59456164,0.5187291,-0.26601312,1.2755526,0.7611136513742824,-0.02537296582150481,3,probe,toxic_vs_generated,21
enc.mlp.L8.n1874,neuron,encoder,mlp,8,-0.6491385,-0.7126303,-0.5093077,0.0024677452,-1.3528486,0.7026431438297007,-0.0006745029806561748,3,probe,toxic_vs_generated,22
enc.mlp.L6.n1826,neuron,encoder,mlp,6,-0.6337506,-0.6777387,-0.50127655,0.10601852,-0.8888386,0.7844205659706346,-0.21517390634251177,3,probe,toxic_vs_generated,23
dec.mlp.L6.n1531,neuron,decoder,mlp,6,0.25747716,0.3141549,0.5009447,-0.3042327,1.4356513,0.7423538078544937,-0.22984270750167105,3,probe,toxic_vs_generated,24
enc.mlp.L4.n281,neuron,encoder,mlp,4,0.6327313,0.5975749,0.4959239,-0.21292718,0.7406444,0.7182022557536961,-0.02835877419748091,3,probe,toxic_vs_generated,25
dec.cross.L6.head3,head,decoder,cross,6,-1.0932392,-1.1888336,-0.51239014,-0.60180867,0.76942474,0.8497942386831276,-0.23649550269954578,3,probe,copy_vs_ordinary,1
dec.self.L1.head2,head,decoder,self,1,0.20692837,0.13906454,0.34152326,-0.511811,1.6206135,0.7262866432962455,0.12084893028651957,3,probe,copy_vs_ordinary,2
dec.self.L1.head6,head,decoder,self,1,0.4167591,0.4083233,0.33585715,-0.50956875,1.5668707,0.7683851547020272,0.009330317811308997,3,probe,copy_vs_ordinary,3
dec.self.L2.head3,head,decoder,self,2,0.1381677,0.21691728,0.08844706,0.49341774,-0.9666262,0.8819095158258395,0.2866898810604505,3,probe,copy_vs_ordinary,4
dec.cross.L2.head5,head,decoder,cross,2,0.13945705,0.15450647,0.13615759,0.48821077,-2.0552394,0.998660011177158,0.2909284465846403,3,probe,copy_vs_ordinary,5
dec.self.L2.head8,head,decoder,self,2,0.17870001,0.068870574,0.19145663,-0.48604333,0.8343835,0.7343392775491541,-0.21972890982007462,3,probe,copy_vs_ordinary,6
dec.self.L2.head6,head,decoder,self,2,0.33773288,0.29421875,0.43329322,-0.48299873,1.076368,0.6651171061321952,-0.021915205694531512,3,probe,copy_vs_ordinary,7
enc.self.L9.head6,head,encoder,self,9,0.06476745,0.15501134,-0.021581305,0.48129305,-1.3867726,0.9655349794238682,0.3163337065825785,3,probe,copy_vs_ordinary,8
dec.self.L1.head0,head,decoder,self,1,0.4289426,0.3417466,0.36610913,-0.47142312,1.3129355,0.706631357008586,-5.897488955446537e-05,3,probe,copy_vs_ordinary,9
dec.self.L2.head11,head,decoder,self,2,-0.084873706,0.050801914,-0.022751091,0.4636188,-1.0046617,0.8761177157953565,2.2307632876056305e-05,3,probe,copy_vs_ordinary,10
dec.cross.L2.head3,head,decoder,cross,2,-0.46752802,-0.3783835,-0.5179789,0.45895216,-1.5290589,0.7885929482294366,0.05136447850626774,3,probe,copy_vs_ordinary,11
dec.self.L1.head10,head,decoder,self,1,0.17430605,0.11677328,0.23857208,-0.45587286,1.4970659,0.7972425443275922,0.048926741423643345,3,probe,copy_vs_ordinary,12
dec.self.L1.head1,head,decoder,self,1,0.2361428,0.1943295,0.32022044,-0.45426735,1.5964814,0.8013641213229691,-0.04208015956206098,3,probe,copy_vs_ordinary,13
dec.self.L1.head5,head,decoder,self,1,0.30849245,0.2689881,0.31107935,-0.4414021,1.5129786,0.722412741960067,0.12942080559191863,3,probe,copy_vs_ordinary,14
dec.self.L5.head5,head,decoder,self,5,0.28854814,0.30438665,0.33886966,0.4409562,-1.3154321,0.9453589391860997,0.09687977459240914,3,probe,copy_vs_ordinary,15
enc.self.L7.head6,head,encoder,self,7,-0.30527714,-0.2731181,-0.32746577,0.43082762,-1.1748585,0.6731125844637504,0.032163085088914835,3,probe,copy_vs_ordinary,16
dec.cross.L4.head4,head,decoder,cross,4,-1.0258541,-1.1349076,-0.4567908,-0.40948772,0.5123817,0.9046512218665853,-0.14753502350286882,3,probe,copy_vs_ordinary,17
dec.self.L1.head3,head,decoder,self,1,0.4970491,0.4791555,0.47838393,-0.40553454,1.4146987,0.6870713305898491,0.2057585392978077,3,probe,copy_vs_ordinary,18
dec.cross.L0.head10,head,decoder,cross,0,0.42886785,0.42194876,0.35580406,-0.39453682,0.8995762,0.7519687039577301,-0.06944878277995066,3,probe,copy_vs_ordinary,19
dec.self.L1.head11,head,decoder,self,1,0.40520474,0.34876394,0.44536653,-0.39293286,1.8331213,0.699937763552304,-0.09940662050408448,3,probe,copy_vs_ordinary,20
dec.cross.L1.head11,head,decoder,cross,1,-0.069179446,-0.09865379,-0.116068445,0.38135418,-0.89804363,0.918724279835391,0.4132868561643261,3,probe,copy_vs_ordinary,21
dec.cross.L1.head1,head,decoder,cross,1,0.011559188,-0.10113483,0.13195384,-0.37585044,1.4597893,0.8849514809734288,-0.10730454842823749,3,probe,copy_vs_ordinary,22
dec.self.L3.head0,head,decoder,self,3,0.5925975,0.53546715,0.21636945,0.3718662,-0.099997155,0.7532134329116497,-0.1051143804837314,3,probe,copy_vs_ordinary,23
enc.self.L8.head0,head,encoder,self,8,0.027778896,-0.037616074,0.16040945,-0.37116456,1.4875017,0.8265063760605599,-0.09486797803802684,3,probe,copy_vs_ordinary,24
dec.self.L0.head7,head,decoder,self,0,-0.08970464,-0.17210586,0.032730345,-0.36782312,1.1699122,0.8084387542549408,0.017098396675694558,3,probe,copy_vs_ordinary,25
dec.mlp.L6.n230,neuron,decoder,mlp,6,-0.09708628,0.01079552,0.021952758,0.5745421,-0.44562054,0.7330945485952345,0.28601895743328126,3,probe,copy_vs_ordinary,1
dec.mlp.L6.n404,neuron,decoder,mlp,6,0.1579646,0.12751265,0.15188883,-0.5713821,1.0446482,0.8652263374485596,-0.387478889495976,3,probe,copy_vs_ordinary,2
dec.mlp.L6.n1026,neuron,decoder,mlp,6,0.5393923,0.5514412,0.22712328,0.56418055,-1.2456759,0.8890413046791648,0.15809178925996056,3,probe,copy_vs_ordinary,3
dec.mlp.L6.n1597,neuron,decoder,mlp,6,-0.09962106,-0.116076685,-0.06915896,-0.5540521,-0.05264634,0.9532655083066605,-0.2345314588393891,3,probe,copy_vs_ordinary,4
enc.mlp.L6.n771,neuron,encoder,mlp,6,-0.28654972,-0.3235838,-0.041018423,-0.5378289,0.57237065,0.814230554285424,0.06597802671086263,3,probe,copy_vs_ordinary,5
dec.mlp.L4.n327,neuron,decoder,mlp,4,-0.046899274,-0.0690509,-0.20414382,-0.51171374,-0.37114456,0.8232929431489101,-0.10957394635532373,3,probe,copy_vs_ordinary,6
dec.mlp.L4.n815,neuron,decoder,mlp,4,-0.009595439,-0.13571583,0.094212584,-0.49969038,1.1308075,0.9566631102982269,-0.3186908743555361,3,probe,copy_vs_ordinary,7
dec.mlp.L4.n31,neuron,decoder,mlp,4,-0.24697459,-0.31124887,-0.0507739,-0.49277607,0.8729379,0.8296944063404968,-0.25030354727985216,3,probe,copy_vs_ordinary,8
dec.mlp.L6.n788,neuron,decoder,mlp,6,-0.08629187,-0.10412034,-0.10834563,0.48985562,-1.7111336,0.9539259767311893,0.4121777653763665,3,probe,copy_vs_ordinary,9
dec.mlp.L6.n806,neuron,decoder,mlp,6,0.38963687,0.46342564,0.1901233,0.4873828,-1.1611462,0.8851547020271301,0.18967243517541132,3,probe,copy_vs_ordinary,10
dec.mlp.L6.n1398,neuron,decoder,mlp,6,-0.062185932,-0.105045505,0.0003629718,0.47888073,-0.51313156,0.8725168927500889,0.2301324168278662,3,probe,copy_vs_ordinary,11
dec.mlp.L6.n1018,neuron,decoder,mlp,6,0.6848383,0.5902419,0.57337594,-0.47867298,1.3854237,0.7737768632830361,0.0020872730656685684,3,probe,copy_vs_ordinary,12
enc.mlp.L8.n592,neuron,encoder,mlp,8,-0.02145644,-0.02372601,-0.014301875,-0.47622868,0.6667463,0.8044949956815527,-0.12709452885207326,3,probe,copy_vs_ordinary,13
dec.mlp.L4.n622,neuron,decoder,mlp,4,-0.051332712,-0.06532813,0.15185963,-0.47258055,-0.09007162,0.7658829954783316,0.06531887778197894,3,probe,copy_vs_ordinary,14
dec.mlp.L6.n622,neuron,decoder,mlp,6,-0.072157405,-0.089860655,0.014810483,0.47183552,-0.9235266,0.9149773916577758,0.25816019237568216,3,probe,copy_vs_ordinary,15
dec.mlp.L6.n1545,neuron,decoder,mlp,6,0.2619616,0.26364192,-0.038047243,-0.468443,1.3683206,0.8769814052735864,-0.19816577449383113,3,probe,copy_vs_ordinary,16
enc.mlp.L6.n1990,neuron,encoder,mlp,6,0.19730057,0.23692703,0.23132168,-0.46324673,1.1586002,0.8031232535690697,-0.29867439247101696,3,probe,copy_vs_ordinary,17
dec.mlp.L6.n1104,neuron,decoder,mlp,6,0.060176715,0.0136794215,0.1252134,0.46274188,0.28947455,0.6282356602143983,0.10378844431398249,3,probe,copy_vs_ordinary,18
dec.mlp.L6.n1729,neuron,decoder,mlp,6,0.6360902,0.7304776,0.17101638,0.46090737,-1.6597052,0.9606957780826093,0.3718719603099083,3,probe,copy_vs_ordinary,19
enc.mlp.L6.n1840,neuron,encoder,mlp,6,0.2659704,0.29192305,0.057160202,0.45640242,-1.0618768,0.8216163694558757,0.09099072903660732,3,probe,copy_vs_ordinary,20
dec.mlp.L4.n1054,neuron,decoder,mlp,4,0.010169304,-0.055251535,-0.11931232,0.45330477,0.18407893,0.9787189452827313,0.05277893447289183,3,probe,copy_vs_ordinary,21
dec.mlp.L6.n1193,neuron,decoder,mlp,6,-0.0077569857,-0.066017225,-0.06512698,0.45299825,-0.009805256,0.729417517654829,0.018949091579136285,3,probe,copy_vs_ordinary,22
dec.mlp.L6.n637,neuron,decoder,mlp,6,-0.07013223,-0.0535204,-0.06916036,0.45209685,0.34402636,0.7550995783163136,0.15459994942242697,3,probe,copy_vs_ordinary,23
enc.mlp.L8.n1167,neuron,encoder,mlp,8,1.0256714,1.0827924,0.55229765,-0.45204452,0.5024927,0.7025478839607784,0.06429526765253481,3,probe,copy_vs_ordinary,24
