seed,split,language,n,n_unique_outputs,unique_output_rate,n_unique_prefixes,prefix_diversity,top_output_count,top_output_share,top_prefix_share,empty_rate,sentinel_rate,copy_input_rate,copy_input_rate_loose,matches_train_output_rate,matches_train_output_fuzzy_rate,template_rate,repetition_rate
1337,dev,hi,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.2962962962962963,0.2962962962962963,0.0,0.0,0.0,0.0
1337,dev,uk,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.37037037037037035,0.37037037037037035,0.0,0.0,0.0,0.0
1337,dev,xh,27,15,0.5555555555555556,4,0.14814814814814814,12,0.4444444444444444,0.8518518518518519,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.4444444444444444
1337,dev,yo,27,20,0.7407407407407407,15,0.5555555555555556,6,0.2222222222222222,0.25925925925925924,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.07407407407407407,0.0,0.2592592592592593
1337,test,am,26,26,1.0,26,1.0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
1337,test,ar,26,26,1.0,26,1.0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.5384615384615384,0.5384615384615384,0.0,0.0,0.0,0.0
1337,test,de,26,26,1.0,26,1.0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.34615384615384615,0.34615384615384615,0.0,0.0,0.0,0.0
1337,test,en,26,26,1.0,26,1.0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.07692307692307693,0.11538461538461539,0.0,0.0,0.0,0.0
1337,test,es,26,26,1.0,26,1.0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0
1337,test,hi,26,26,1.0,26,1.0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
1337,test,uk,26,26,1.0,26,1.0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.23076923076923078,0.2692307692307692,0.0,0.0,0.0,0.0
1337,test,xh,26,16,0.6153846153846154,8,0.3076923076923077,10,0.38461538461538464,0.7307692307692307,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.3846153846153846
1337,test,yo,26,19,0.7307692307692307,13,0.5,3,0.11538461538461539,0.2692307692307692,0.0,0.0,0.11538461538461539,0.11538461538461539,0.0,0.0,0.0,0.2692307692307693
2024,dev,am,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.2962962962962963,0.2962962962962963,0.0,0.0,0.0,0.0
2024,dev,ar,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0
2024,dev,de,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.5185185185185185,0.5925925925925926,0.0,0.0,0.0,0.0
2024,dev,en,27,27,1.0,26,0.9629629629629629,1,0.037037037037037035,0.07407407407407407,0.0,0.0,0.07407407407407407,0.07407407407407407,0.0,0.0,0.0,0.0
2024,dev,es,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.25925925925925924,0.2962962962962963,0.0,0.0,0.0,0.0
2024,dev,hi,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.25925925925925924,0.25925925925925924,0.0,0.0,0.0,0.0
2024,dev,uk,27,27,1.0,27,1.0,1,0.037037037037037035,0.037037037037037035,0.0,0.0,0.3333333333333333,0.4444444444444444,0.0,0.0,0.0,0.0
2024,dev,xh,27,9,0.3333333333333333,4,0.14814814814814814,18,0.6666666666666666,0.8148148148148148,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.6666666666666667
2024,dev,yo,27,17,0.6296296296296297,16,0.5925925925925926,9,0.3333333333333333,0.3333333333333333,0.0,0.0,0.07407407407407407,0.07407407407407407,0.0,0.07407407407407407,0.0,0.37037037037037035
2024,test,am,26,26,1.0,26,1.0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.34615384615384615,0.34615384615384615,0.0,0.0,0.0,0.0
2024,test,ar,26,26,1.0,26,1.0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.38461538461538464,0.38461538461538464,0.0,0.0,0.0,0.0
