stage,split,intervention,family,n_seeds,delta_sta_mean,delta_sim_mean,delta_fl_mean,delta_j_mean,effect_size_sta_mean,effect_size_sim_mean,effect_size_j_mean,delta_sta_sd,delta_sim_sd,delta_j_sd
stage13_steering,dev,decoder/probe/pooled_non_african@-0.50,steering_primary,3,0.0017341935534038802,-0.00029241412208504786,0.00020997846669963585,0.0013295840857846183,0.051202589848506674,-0.013880133128156566,0.052130126285013845,0.002942358797838362,0.0004262911812078454,0.0018093396602018254
stage13_steering,dev,decoder/probe/pooled_non_african@-1.00,steering_primary,3,0.00041140973691358024,0.00035013654183813536,0.0009699112502725692,0.0007032341677336136,0.031671039925396834,0.053147962760517094,0.041408867169855174,0.004559522038572488,0.00020700933772693463,0.0028975331658700008
stage13_steering,dev,decoder/random/per_language@+0.25,steering_random_control,3,-4.117269717813381e-06,0.00035115244855967034,0.00038910290173128415,-3.1827494973356253e-06,-0.05685325798644705,0.06989128430310539,-0.02424766318325201,7.086504268837159e-06,0.0005097072164721026,5.472011826699126e-06
stage13_steering,dev,decoder/random/per_language@+0.50,steering_random_control,3,-0.0013885619138447969,0.0007015833758573388,0.0004861339476709442,-0.0009306916709013305,-0.0879620671662759,0.06480964091908266,-0.08402504019937995,0.0023943830626697413,0.0005093672686900354,0.0016037516321528152
stage13_steering,dev,decoder/random/per_language@+1.00,steering_random_control,3,0.001994716852627866,0.00023124980795610414,0.0004599637494356276,0.0005665527437436792,0.017466274159600264,0.026260629024858026,0.008012221740134306,0.0034539829415811104,0.0006531724542165558,0.0009794568526796334
stage13_steering,dev,decoder/random/per_language@-0.50,steering_random_control,3,0.001729579842134039,0.0003886692181069946,0.00021368462727240257,0.0014370646986407536,0.06898610641642013,0.07928048071398924,0.08503402879752263,0.0029458829257253353,0.0003424137075583264,0.0016486187812524084
stage13_steering,dev,decoder/random/per_language@-1.00,steering_random_control,3,0.0017295654675308638,0.00010996362551440193,0.0002553601279865422,0.001437053406761443,0.06937192778231784,-0.008426921738402232,0.08519591820397593,0.0029457770481505553,0.00027936041255114416,0.0016485914632771977
stage13_steering,dev,decoder/random/pooled_african@+0.25,steering_random_control,3,-0.0013887877532627864,0.00013294658161865517,-7.117727838875237e-05,-0.0009307254372099045,-0.07274545228081106,0.006135876704394833,-0.08167694523355333,0.0023947844343895695,0.0001412119026097004,0.0016038173463471285
stage13_steering,dev,decoder/random/pooled_african@+0.50,steering_random_control,3,-0.0013711996632451498,0.0004258289094650199,0.0002831923138808116,-0.000831081991353154,-0.02428424315297226,0.06489740683916269,-0.024307342693636592,0.0024102692876466518,0.0004005778150545701,0.0016971608506047464
stage13_steering,dev,decoder/random/pooled_african@+1.00,steering_random_control,3,-0.004714920605149911,0.0016231437133058968,0.0007757061684332987,-0.0028984004638509184,-0.03715345084704679,0.08105879409400395,-0.048967795856596545,0.008214036687486064,0.001827028982396066,0.005194523225684535
stage13_steering,dev,decoder/random/pooled_african@-0.50,steering_random_control,3,0.0018371132832451502,0.00016414438271604925,0.00010085634954248949,0.001179411689938633,0.07273554180849652,0.027184926628278233,0.029779464065627165,0.0028590851874786116,0.00027794375181077087,0.0017881131679951558
stage13_steering,dev,decoder/random/pooled_african@-1.00,steering_random_control,3,0.003188286216984127,-0.0006990109766803845,0.00018661426523436568,0.0022208732363233454,0.03168275251942481,-0.05789209573984385,0.08091738236989976,0.005197778208162624,0.000572076926713921,0.003072224300239677
stage13_steering,dev,decoder/random/pooled_all_balanced@+0.25,steering_random_control,3,0.0003434146542151675,0.00026413122085048045,0.00014921838071603507,0.0003022053361185167,0.018326122813881095,0.09452487630230932,0.020758232387903586,0.000549730984856909,0.0002458462627956198,0.0003037116947272905
stage13_steering,dev,decoder/random/pooled_all_balanced@+0.50,steering_random_control,3,0.0003434280800000003,0.0009707524417009611,0.00035747212667753235,0.00030230670059574295,0.030038550917956205,0.033393501791713645,0.05041113009433895,0.0005497184516105657,0.001482132591334838,0.00030343621722359173
stage13_steering,dev,decoder/random/pooled_all_balanced@+1.00,steering_random_control,3,0.0021082758080246916,0.0012119378175582997,0.0004242100366578722,0.0015064030757797652,0.05022656959589706,0.05902758502797628,0.0669132966959991,0.0035959504274974486,0.001324649181884222,0.0023357561490649163
stage13_steering,dev,decoder/random/pooled_all_balanced@-0.50,steering_random_control,3,-4.180255696648968e-06,0.00024379141975308555,-7.085973843134325e-06,0.00010833185990422415,-0.03746439522801512,0.07678980119249472,-0.02426147623476553,7.062562811444968e-06,0.00010943610880932605,0.0003363623582322062
stage13_steering,dev,decoder/random/pooled_all_balanced@-1.00,steering_random_control,3,1.344288569664899e-05,0.00020639034019204273,0.0005182194682824339,0.00011874762784188503,0.023391331245995295,0.029184669494332117,-0.01890883623074111,3.443835984761827e-05,0.001001620537351026,0.00032450524309493177
