stage,split,intervention,family,seed,language,delta_sta,delta_sta_ci_lo,delta_sta_ci_hi,delta_sim,delta_sim_ci_lo,delta_sim_ci_hi,delta_j,effect_size_sta,effect_size_sim
stage11_ablation,dev,top_mean_diff_direction,ablation_primary,2024,en,0.036992114947407416,-0.00010616789714813741,0.11106324737690741,-0.03821649962962961,-0.06315436686111107,-0.013604140944444423,0.010910663447370144,0.19232831267593983,-0.5428579012960371
stage11_ablation,dev,top_mean_diff_direction,ablation_primary,2024,es,0.1484469120848148,0.001004165827648159,0.332389473517713,-0.034760629259259275,-0.06233551205555557,-0.00603152417592594,0.09316208030957922,0.3277488087142772,-0.4292713786861482
stage11_ablation,dev,top_mean_diff_direction,ablation_primary,2024,uk,0.11172278137148149,-0.03665690277037962,0.26184137264611035,-0.039880117777777786,-0.07027213005555558,-0.01576753225,0.03253667973748079,0.26435288606418184,-0.5345429865999896
stage11_ablation,dev,top_probe_direction,ablation_primary,42,am,0.3024935416907407,0.1438426434032408,0.4794769704694906,-0.17290653037037038,-0.228253160824074,-0.11196701514814816,0.018914743577835482,0.6833726796481638,-1.0737586045640681
stage11_ablation,dev,top_probe_direction,ablation_primary,42,ar,0.1864770685977778,0.07356737886468519,0.3337024149361111,-0.02644847333333334,-0.045458475537037045,-0.011854865250000004,0.12342039677861281,0.4788499463913689,-0.5866020651837821
stage11_ablation,dev,top_probe_direction,ablation_primary,42,de,0.18116714501333334,0.04310048116198148,0.3310613664395,-0.04245514074074075,-0.05933171722222221,-0.026365466425925927,0.06486874928088247,0.47367860825411967,-0.9672293407293125
stage11_ablation,dev,top_probe_direction,ablation_primary,42,en,0.11093792201777779,-0.037083261099861105,0.2589516965316945,-0.023347626666666663,-0.061634312379629616,0.014589005120370372,0.0653986813393596,0.2621470433559523,-0.22628299016004752
stage11_ablation,dev,top_probe_direction,ablation_primary,42,es,0.217766144667037,0.03785833736251853,0.3975383353996852,-0.07374756259259259,-0.11536388803703702,-0.03599562519444445,0.12350047005508208,0.4393413869411584,-0.6884788633558453
stage11_ablation,dev,top_probe_direction,ablation_primary,42,hi,0.03667966063370371,0.0006497924968981487,0.10496029753437035,-0.07736969370370372,-0.12493262759259255,-0.03813604312037039,0.01645533214564929,0.2171520903912106,-0.6302324781467653
stage11_ablation,dev,top_probe_direction,ablation_primary,42,uk,0.21091581589074074,0.028020935367370412,0.39368198785332403,-0.04972295370370371,-0.08522169691666667,-0.020077222898148173,0.10894176790569025,0.4305571156890589,-0.5664868842562442
stage11_ablation,dev,top_probe_direction,ablation_primary,1337,am,0.3314895702388889,0.17337341982046298,0.5096773275420371,-0.1550443018518519,-0.20480613657407407,-0.10673667807407407,0.027638643818068614,0.7215796769538497,-1.1870348721580413
stage11_ablation,dev,top_probe_direction,ablation_primary,1337,ar,0.08086232915629629,-0.051905541764166646,0.22734375661557404,-0.03005142555555555,-0.04974464537037037,-0.011683815361111106,0.04155515028331419,0.21361282280264474,-0.5412432504786785
stage11_ablation,dev,top_probe_direction,ablation_primary,1337,de,0.09155929046518517,-0.02065447197546295,0.22208881039792594,-0.02732068370370371,-0.04295095564814814,-0.013523016500000007,0.03125191898608793,0.2693507887052109,-0.691718884876786
stage11_ablation,dev,top_probe_direction,ablation_primary,1337,en,0.11107661135222224,0.00011500450178704815,0.2590058642085,-0.03727922222222223,-0.06628748777777776,-0.013037234981481481,0.054019436143784745,0.3472555350466097,-0.49958838111902826
