stage,split,intervention,family,seed,language,n_pairs,sta_supported,sta_status,sta,sta_baseline,delta_sta,delta_sta_ci_lo,delta_sta_ci_hi,effect_size_sta,sim,sim_baseline,delta_sim,delta_sim_ci_lo,delta_sim_ci_hi,effect_size_sim,fl,fl_baseline,delta_fl,delta_fl_ci_lo,delta_fl_ci_hi,effect_size_fl,j,j_baseline,delta_j,delta_j_ci_lo,delta_j_ci_hi,effect_size_j,sta_unvalidated,copy_rate,loose_copy_rate,empty_rate,sentinel_rate,unique_output_rate,top_output_share,template_rate,baseline_copy_rate,delta_copy_rate,baseline_loose_copy_rate,delta_loose_copy_rate,baseline_empty_rate,delta_empty_rate,baseline_sentinel_rate,delta_sentinel_rate,baseline_unique_output_rate,delta_unique_output_rate,baseline_top_output_share,delta_top_output_share,baseline_template_rate,delta_template_rate
stage13_steering,dev,encoder/probe/pooled_african@+1.00,steering_primary,1337,hi,27,True,validated,0.18974129789518518,0.18947018232222226,0.0002711155729629613,-2.6260101852082843e-08,0.0007428526891574075,0.22002654693306553,0.9045604840740741,0.9111734444444444,-0.006612960370370369,-0.018722276481481486,1.5953703725477694e-08,-0.22863398527182174,0.6341416715494878,0.6413428760706992,-0.0072012045212114855,-0.023788244571199754,0.002184631007565299,-0.17343730671895052,0.12318788057074542,0.13450416077545777,-0.01131628020471233,-0.03399326339475764,4.4370092447441694e-05,-0.19218900066162017,,0.25925925925925924,0.25925925925925924,0.0,0.0,1.0,0.037037037037037035,0.0,0.2962962962962963,-0.037037037037037035,0.2962962962962963,-0.037037037037037035,0.0,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
stage13_steering,dev,encoder/probe/pooled_african@+1.00,steering_primary,1337,uk,27,True,validated,0.3429533542511111,0.3429533839288889,-2.9677777777748737e-08,-1.9570371296296238e-07,1.067167685186008e-07,-0.07565363727318643,0.9673094011111111,0.9708446651851852,-0.003535264074074073,-0.010605784583333331,1.0000000001212743e-08,-0.19245044566541178,0.7288037693469899,0.7372398332776406,-0.008436063930650781,-0.02530819179195234,0.0,-0.19245008972987526,0.25981568141655176,0.2598186316386599,-2.950222108129476e-06,-8.907799952942427e-06,5.978189129285525e-08,-0.19119252152135735,,0.37037037037037035,0.37037037037037035,0.0,0.0,1.0,0.037037037037037035,0.0,0.37037037037037035,0.0,0.37037037037037035,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
stage13_steering,dev,encoder/probe/pooled_african@+1.00,steering_primary,1337,xh,27,False,unavailable/unvalidated,,,,,,,0.33998088851851854,0.34678376814814815,-0.006802879629629632,-0.025944983559259255,0.004244624459259253,-0.14336681049805192,0.19962146134172457,0.19753336793796883,0.0020880934037556965,-0.0004771320613646289,0.00573862583892918,0.2420757032299721,,,,,,,0.9233895742740742,0.037037037037037035,0.037037037037037035,0.0,0.0,0.5555555555555556,0.48148148148148145,0.0,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.4444444444444444,0.037037037037037035,0.0,0.0
stage13_steering,dev,encoder/probe/pooled_african@+1.00,steering_primary,1337,yo,27,False,unavailable/unvalidated,,,,,,,0.40215425599999993,0.4007089096666667,0.0014453463333333296,-0.03137366091666667,0.03570974898148148,0.017229686470713497,0.29241305708231047,0.2846328041910526,0.0077802528912579265,0.0,0.021295476063234568,0.24896188392526988,,,,,,,0.690560985111111,0.07407407407407407,0.07407407407407407,0.0,0.0,0.7407407407407407,0.2222222222222222,0.0,0.1111111111111111,-0.037037037037037035,0.1111111111111111,-0.037037037037037035,0.0,0.0,0.0,0.0,0.7407407407407407,0.0,0.2222222222222222,0.0,0.0,0.0
stage13_steering,dev,encoder/probe/pooled_african@+1.00,steering_primary,2024,am,27,True,validated,0.515336628137037,0.47929054817962957,0.03604607995740741,-0.0008416786452777752,0.10897975067157407,0.19090311597090565,0.9449303037037038,0.9491810707407409,-0.004250767037037035,-0.011304723425925926,0.00034982962962963143,-0.26365783761044614,0.4296168347649702,0.43302475143534264,-0.003407916670372354,-0.013526744782554194,0.002475114390766565,-0.1627666691377466,0.2345929315428149,0.22187276572802034,0.012720165814794527,-0.0005766793501622956,0.038738663772390124,0.18943952331337952,,0.2962962962962963,0.2962962962962963,0.0,0.0,1.0,0.037037037037037035,0.0,0.2962962962962963,0.0,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
stage13_steering,dev,encoder/probe/pooled_african@+1.00,steering_primary,2024,ar,27,True,validated,0.45664755813703706,0.4567421735466667,-9.461540962962737e-05,-0.0002835211172222205,-8.018372222033097e-08,-0.19304820649217339,0.9685174451851851,0.9706194192592591,-0.0021019740740740745,-0.006305922222222223,0.0,-0.19245008972987526,0.7520207729174003,0.7530965864145812,-0.001075813497180979,-0.0032274404915429373,0.0,-0.19245008972987523,0.3498369962095638,0.3499222246759102,-8.522846634636069e-05,-0.0002553670240329688,-5.665803882870759e-08,-0.19301917612998587,,0.5185185185185185,0.5185185185185185,0.0,0.0,1.0,0.037037037037037035,0.0,0.5555555555555556,-0.03703703703703709,0.5555555555555556,-0.03703703703703709,0.0,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
stage13_steering,dev,encoder/probe/pooled_african@+1.00,steering_primary,2024,de,27,True,validated,0.5281700917892592,0.5281769065844444,-6.814795185180237e-06,-1.655635787962409e-05,1.7558703705453428e-08,-0.28845646739334657,0.9857295892592595,0.986696001851852,-0.000966412592592591,-0.0024639151851851807,0.0,-0.2769443730130161,0.7627139707271254,0.7651389077217255,-0.002424936994600146,-0.006686513611292306,0.0,-0.24473340171279018,0.4318120167203659,0.4349411325469979,-0.0031291158266320384,-0.00936374606127399,-4.922754523272363e-08,-0.24677426509225794,,0.48148148148148145,0.5555555555555556,0.0,0.0,1.0,0.037037037037037035,0.0,0.5185185185185185,-0.037037037037037035,0.5925925925925926,-0.03703703703703698,0.0,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
stage13_steering,dev,encoder/probe/pooled_african@+1.00,steering_primary,2024,en,27,True,validated,0.5554440897770371,0.5554440860807408,3.696296294336273e-09,-1.7227777778458415e-10,1.130684258666855e-08,0.19198436866321567,0.9060980085185185,0.9060979937037038,1.4814814811128887e-08,-1.481481480701695e-09,3.2592592587773104e-08,0.3071837850594446,0.7041088901348652,0.7041088901348652,0.0,0.0,0.0,,0.4022907666701294,0.4022907537315832,1.2938546265122472e-08,3.7072331768770956e-11,2.878354893390207e-08,0.33957926938420746,,0.07407407407407407,0.07407407407407407,0.0,0.0,1.0,0.037037037037037035,0.0,0.07407407407407407,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
stage13_steering,dev,encoder/probe/pooled_african@+1.00,steering_primary,2024,es,27,True,validated,0.44690425597777783,0.44699051263074074,-8.625665296296299e-05,-0.0002588112486944465,2.7057509257945136e-08,-0.19241722188775734,0.9330605140740741,0.9320015440740741,0.001058970000000009,-6.037962962843098e-08,0.0031769933425926144,0.19244554646258594,0.6794620888447084,0.6810107043735648,-0.0015486155288565121,-0.004645846586569536,0.0,-0.19245008972987523,0.27566971927558165,0.27573640053219417,-6.668125661251934e-05,-0.00020006745366039393,2.3146457687511127e-08,-0.19243052854164894,,0.2962962962962963,0.3333333333333333,0.0,0.0,1.0,0.037037037037037035,0.0,0.25925925925925924,0.037037037037037035,0.2962962962962963,0.037037037037037035,0.0,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
stage13_steering,dev,encoder/probe/pooled_african@+1.00,steering_primary,2024,hi,27,True,validated,0.22807377484703706,0.18846396334259263,0.039609811504444446,-1.8614309258918002e-07,0.11882947809550001,0.20634670418603349,0.8943369192592593,0.9103931266666666,-0.016056207407407413,-0.04303595683333334,-4.888888890006058e-08,-0.24764279511276027,0.6501716759109392,0.6528525028708522,-0.002680826959913032,-0.020360314896525053,0.010411088912368733,-0.06208565691220499,0.14171748247852103,0.13381152186533224,0.007905960613188793,-7.063327816407763e-06,0.020075116663892258,0.24964269190834903,,0.18518518518518517,0.18518518518518517,0.0,0.0,1.0,0.037037037037037035,0.0,0.25925925925925924,-0.07407407407407407,0.25925925925925924,-0.07407407407407407,0.0,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,0.0,0.0,0.0
