stage,split,intervention,family,seed,scope,n_pairs,n_languages,sta,delta_sta,delta_sta_ci_lo,delta_sta_ci_hi,effect_size_sta,sta_languages_included,sim,delta_sim,delta_sim_ci_lo,delta_sim_ci_hi,effect_size_sim,sim_languages_included,fl,delta_fl,delta_fl_ci_lo,delta_fl_ci_hi,effect_size_fl,fl_languages_included,j,delta_j,delta_j_ci_lo,delta_j_ci_hi,effect_size_j,j_languages_included
stage13_steering,dev,decoder/probe/pooled_non_african@-1.00,steering_primary,1337,macro_over_languages,243,9,0.41520786928328046,7.124177328042298e-05,1.2406348148098069e-07,0.00019018880032936473,0.0948804310932735,7.0,0.8219570354773663,0.0005854409053497958,-0.00266992765020576,0.003374236123456791,0.024191732695764002,9,0.5808109701121817,0.002283732038939115,0.0002535834979628832,0.00549637358365041,0.10336860079097404,9,0.2894113702505407,0.001086541624388835,1.2199498271733704e-05,0.0024718096863413546,0.12402301661879069,7.0
stage13_steering,dev,decoder/probe/pooled_non_african@-1.00,steering_primary,2024,macro_over_languages,243,9,0.42824187693418,-0.003968501395291005,-0.011928139244366403,2.2669289812170206e-05,-0.07260657129692885,7.0,0.8240548061069959,0.00026890905349794485,-2.4306515432096412e-05,0.0008323996666666682,0.062495492909412906,9,0.5728043920508942,0.0006462727327806286,-4.011070452623175e-05,0.0019989842551312335,0.06218333234587394,9,0.29749716715019203,-0.0023668748742250788,-0.0071206931146075335,2.0149942511531257e-05,-0.07253567904529207,7.0
stage13_steering,dev,decoder/random/per_language@+0.25,steering_random_control,42,macro_over_languages,243,9,0.4042215761760846,-9.020634921487536e-10,-9.018308201336304e-09,4.9912354497545015e-09,-0.017818637023975115,7.0,0.8382646247201646,3.271604938662655e-09,-1.2355967078424662e-09,7.983539094505705e-09,0.08136839552957895,9,0.5756113044911487,0.0,0.0,0.0,,9,0.2825549405721955,2.1208671028382703e-09,-9.805206370229799e-10,5.7406304463544525e-09,0.09078618109963452,7.0
stage13_steering,dev,decoder/random/per_language@+0.25,steering_random_control,1337,macro_over_languages,243,9,0.41513660712275136,-5.089798941809117e-08,-1.431505542329426e-07,2.4865888888157833e-08,-0.08014722099888293,7.0,0.8223073732139919,0.00093577732510288,-4.774691360485805e-09,0.002807336676954733,0.06414990810155516,9,0.5798666151705318,0.0013393770972890205,0.0,0.004018131291867062,0.06415002990995843,9,0.28832480968770297,-4.9154209612209615e-08,-1.3470513030847914e-07,1.6683256966407885e-08,-0.0909871114127088,7.0
stage13_steering,dev,decoder/random/per_language@+0.25,steering_random_control,2024,macro_over_languages,243,9,0.4321980503495767,-1.2300009100529902e-05,-3.6983096417992075e-05,8.502839550188166e-08,-0.07259391593648312,7.0,0.823903563473251,0.00011767674897119236,2.7983539102193904e-09,0.0003530147438271589,0.06415554927818207,9,0.5719860509260184,-0.000172068392095168,-0.000516205176285504,0.0,-0.06415002990995843,9,0.2998545130880713,-9.501215149497504e-06,-2.858622866415458e-05,6.708219997532887e-08,-0.07254205923668175,7.0
stage13_steering,dev,decoder/random/per_language@+0.50,steering_random_control,42,macro_over_languages,243,9,0.4000682288875661,-0.00415334819058201,-0.012461364117671956,8.813871071428673e-07,-0.07273153828721567,7.0,0.8393192871481482,0.0010546656995884776,1.0699588476303283e-09,0.003128390165123458,0.06636041823805706,9,0.5754875353605817,-0.00012376913056702635,-0.00036015500620831367,0.0,-0.07018804410451425,9,0.27977240206010073,-0.0027825363912276544,-0.008348104014770569,4.906166671487731e-07,-0.07273495953794769,7.0
stage13_steering,dev,decoder/random/per_language@+0.50,steering_random_control,1337,macro_over_languages,243,9,0.4151366442248678,-1.3795873015988676e-08,-3.1704970900044334e-08,-1.0704761905052599e-10,-0.11841949143787818,7.0,0.8223040134444446,0.0009324175555555554,-6.724907407407372e-06,0.0028073369773662553,0.06391822681242092,9,0.5802814774389179,0.0017542393656750268,0.0,0.00526271809702508,0.08035208486192158,9,0.2883248483632221,-1.0478690486496064e-08,-2.5627811871186498e-08,-6.198848715604864e-10,-0.10659100543568899,7.0
stage13_steering,dev,decoder/random/per_language@+0.50,steering_random_control,2024,macro_over_languages,243,9,0.4321980266035979,-1.2323755079365099e-05,-3.6973558947089954e-05,1.7367791004950965e-09,-0.07273517177373384,7.0,0.8239035535967079,0.00011766687242798357,-3.2520576134843974e-09,0.000353001456790124,0.06415027770677002,9,0.5719860509260184,-0.000172068392095168,-0.000516205176285504,0.0,-0.06415002990995843,9,0.2998544861604349,-9.528142785850224e-06,-2.8582992586048373e-05,6.457142345037105e-10,-0.07274915562450317,7.0
stage13_steering,dev,decoder/random/per_language@+1.00,steering_random_control,42,macro_over_languages,243,9,0.41020458210031746,0.005983005022169313,-0.008307139610896826,0.02141426837312565,0.05243210526353368,7.0,0.8379069395308641,-0.00035768191769547445,-0.0035712715746913574,0.002598488620164607,-0.014605210602751953,9,0.5753623578261217,-0.0002489466650272115,-0.0014765703629979427,0.0006457166012705047,-0.0283453325768153,9,0.28425240404373453,0.0016974655924061632,-0.007457676092814612,0.011469217257440116,0.026615872337236852,7.0
stage13_steering,dev,decoder/random/per_language@+1.00,steering_random_control,1337,macro_over_languages,243,9,0.41515012529343914,1.34672726984127e-05,-2.7518002645497908e-08,4.042932645502646e-05,0.07268991325625705,7.0,0.8223053603580248,0.0009337644691358024,-0.0028794768944444453,0.005141073876543211,0.029236819958429697,9,0.5803281443786721,0.0018009063054292625,-0.0014598186050919452,0.005660708787025743,0.06343364266746152,9,0.2883365769694889,1.1718127576397824e-05,-1.269644362005869e-06,3.6425182546715704e-05,0.07014957610138059,7.0
stage13_steering,dev,decoder/random/per_language@+1.00,steering_random_control,2024,macro_over_languages,243,9,0.4321980286216931,-1.2321736984127203e-05,-3.6973325891534394e-05,7.940493385590966e-09,-0.07272319604098994,7.0,0.8239035535967079,0.00011766687242798449,-9.05349793305265e-10,0.00035300065946502086,0.06415027771889634,9,0.5719860509260184,-0.000172068392095168,-0.000516205176285504,0.0,-0.06415002990995843,9,0.2998544888144693,-9.52548875152344e-06,-2.8581153521496557e-05,4.333840885543213e-09,-0.07272878321821452,7.0
stage13_steering,dev,decoder/random/per_language@-0.50,steering_random_control,42,macro_over_languages,243,9,0.40935260665714285,0.0051310295789947094,-9.542135476194956e-07,0.015394218464026454,0.07273271525831591,7.0,0.8387847633209877,0.0005201418724279838,2.354938271336287e-09,0.001260965207304527,0.09527445897328665,9,0.5752344395900081,-0.0003768649011407444,-0.0010699725882655857,0.0,-0.06952048786693789,9,0.28579178773649905,0.003236849285170678,-0.0003064825214327835,0.010170196899340102,0.06936491021688222,7.0
stage13_steering,dev,decoder/random/per_language@-0.50,steering_random_control,1337,macro_over_languages,243,9,0.41519433967978847,5.768165904761871e-05,-4.568351322719267e-08,0.0001694315249259237,0.07915424200147994,7.0,0.8220174581111113,0.000645862222222221,-1.0545067901237738e-05,0.0016160177047325102,0.10377453460883314,9,0.5795451568562007,0.0010179187829579522,0.0002573536373813803,0.0021549490749157114,0.12321299706300776,9,0.2893991769141844,0.001074318072271801,-5.1143957109145675e-08,0.00246150836475847,0.12262894893382248,7.0
stage13_steering,dev,decoder/random/per_language@-0.50,steering_random_control,2024,macro_over_languages,243,9,0.4322103786470371,2.8288359788423717e-08,-4.346340476288006e-08,9.634937830725941e-08,0.0550713619894645,7.0,0.8237858902839507,3.5596707790199214e-09,-7.2949588532072765e-09,1.412407407051186e-08,0.038792448559847925,9,0.5721581193181136,0.0,0.0,0.0,,9,0.2998640410417006,2.6738479781729862e-08,-2.7740048522086258e-08,8.585164993438878e-08,0.06310822724186317,7.0
stage13_steering,dev,decoder/random/per_language@-1.00,steering_random_control,42,macro_over_languages,243,9,0.40935246949396825,0.0051308924158201055,-1.0914502354504246e-06,0.015394366501886242,0.07273076060463451,7.0,0.8381669454197531,-9.767602880658413e-05,-0.0019299603852880648,0.0010652866352880664,-0.00826595674514655,9,0.5753228888213551,-0.00028841566979364376,-0.0010636725652469685,0.00017043690062382464,-0.05172110897244863,9,0.2857917405091909,0.0032368020578624457,-0.0004596141311736484,0.010170169444971573,0.06936389324689925,7.0
stage13_steering,dev,decoder/random/per_language@-1.00,steering_random_control,1337,macro_over_languages,243,9,0.4151944331944445,5.777517370370322e-05,7.29856613760849e-09,0.00017280894131084529,0.07928330594964624,7.0,0.8217991702921812,0.00042757440329217793,-0.00033066366975308955,0.0014592487798353875,0.060110089362050645,9,0.579581734126996,0.0010544960537532703,0.00026009693269102665,0.002210756814303762,0.12740701742559726,9,0.2893991900500257,0.001074331208113128,-8.695039954303208e-09,0.0024360530140422657,0.1226305862974276,7.0
stage13_steering,dev,decoder/random/per_language@-1.00,steering_random_control,2024,macro_over_languages,243,9,0.4322103791717461,2.8813068782854554e-08,-3.967094444533716e-08,1.0650956349132193e-07,0.05610171679267275,7.0,0.8237858792263375,-7.497942388010333e-09,-2.0277572017206876e-08,3.607613167435398e-09,-0.0771248978321108,9,0.5721581193181136,0.0,0.0,0.0,,9,0.2998640412575296,2.6954308755598215e-08,-2.6710499700444098e-08,9.740871343727659e-08,0.06359327506760093,7.0
stage13_steering,dev,decoder/random/pooled_african@+0.25,steering_random_control,42,macro_over_languages,243,9,0.4000675384695238,-0.004154037472169312,-0.012461863848997353,4.423280423176797e-11,-0.07274367315437201,7.0,0.8385458039382716,0.00028117728395061754,0.0,0.000807930041152264,0.07273284007017326,9,0.5755698410480777,-4.146344307108912e-05,-0.00011343810088532163,0.0,-0.08246584628306118,9,0.2797722897672725,-0.0027826460212094888,-0.008348104440192027,1.6626779045785214e-07,-0.07273784059830052,7.0
stage13_steering,dev,decoder/random/pooled_african@+0.25,steering_random_control,1337,macro_over_languages,243,9,0.41513662249391536,0.0,0.0,0.0,,7.0,0.8213715903045269,-3.670781894070265e-09,-7.626543211055015e-09,-1.6358024817242586e-10,-0.11847508216093668,9,0.5785272380732427,0.0,0.0,0.0,,9,0.28832482716204283,-1.3900815765955633e-09,-3.321104465760542e-09,3.541584229880124e-10,-0.09953802462847067,7.0
stage13_steering,dev,decoder/random/pooled_african@+0.25,steering_random_control,2024,macro_over_languages,243,9,0.4321980760468784,-1.2325787619047627e-05,-3.697738656084658e-05,2.3703703703067294e-11,-0.07274723140725009,7.0,0.8239035516625516,0.00011766613168724208,-2.4701646098149913e-09,0.00035300111316872296,0.06414987220394791,9,0.5719860509260184,-0.000172068392095168,-0.000516205176285504,0.0,-0.06415002990995843,9,0.29985452904549975,-9.528900338648425e-06,-2.8584202203255868e-05,-2.0529552382003037e-10,-0.07275497047388878,7.0
stage13_steering,dev,decoder/random/pooled_african@+0.50,steering_random_control,42,macro_over_languages,243,9,0.40006749145820103,-0.004154084483492064,-0.012461709690845237,-1.548689285952768e-08,-0.07274450077239554,7.0,0.8385458039382716,0.00028117728395061754,0.0,0.000807930041152264,0.07273284007017326,9,0.5755698410480777,-4.146344307108912e-05,-0.00011323794372050199,0.0,-0.08246584628306118,9,0.2797722532192189,-0.0027826825692630983,-0.008348172271840404,1.0937403680379601e-07,-0.07273880103401027,7.0
stage13_steering,dev,decoder/random/pooled_african@+0.50,steering_random_control,1337,macro_over_languages,243,9,0.4151894550689947,5.283257507936542e-05,-3.2146731480932205e-08,0.0001598837086481469,0.07276525642766837,7.0,0.8222502345925926,0.000878640617283949,-0.00043830186090535193,0.0029693497410493807,0.057808032649921424,9,0.5795903468500514,0.0010631087768086921,-0.0008204390114264872,0.00415197522133056,0.04842315713628888,9,0.2886238074767559,0.00029897892463154704,-6.085003373628184e-07,0.0008977309691290574,0.07267474406328094,7.0
stage13_steering,dev,decoder/random/pooled_african@+0.50,steering_random_control,2024,macro_over_languages,243,9,0.43219805475317463,-1.2347081322751317e-05,-3.701643789550319e-05,-1.2214034391523927e-09,-0.07287348511418962,7.0,0.8239035543580249,0.00011766882716049323,-1.3168724294634399e-09,0.0003530037510288064,0.06415134779739338,9,0.5719860509260184,-0.000172068392095168,-0.000516205176285504,0.0,-0.06415002990995843,9,0.2998545156164105,-9.542329427910385e-06,-2.8611303391727906e-05,9.894823017596254e-11,-0.07285797111018044,7.0
stage13_steering,dev,decoder/random/pooled_african@+1.00,steering_random_control,42,macro_over_languages,243,9,0.3900220166034921,-0.014199559338201058,-0.03013786248759524,-1.718356415338839e-07,-0.1260543721653089,7.0,0.8419157022510289,0.0036510755967078187,0.00030140959979424047,0.00794531116460905,0.11470498000522597,9,0.5770098679371009,0.0013985634459521502,-0.00015328288789316283,0.0036770189383056296,0.08835729471880811,9,0.2736597562489924,-0.008895179539489534,-0.020683223079257643,1.2912332890200836e-07,-0.12033618656582581,7.0
stage13_steering,dev,decoder/random/pooled_african@+1.00,steering_random_control,1337,macro_over_languages,243,9,0.415204267758201,6.764526428571508e-05,1.414399735523883e-08,0.00018677718797751396,0.09037632909534338,7.0,0.8224844126008232,0.0011128186255144007,-0.00024782087314815013,0.0032356833316872415,0.07126142576811624,9,0.5796278615246856,0.001100623451442914,-0.0009028168972234585,0.004524888816834276,0.049871507620360835,9,0.28853459959484545,0.0002097710427210676,-0.0002681814832335814,0.0009170165806119859,0.04818860498650144,7.0
stage13_steering,dev,decoder/random/pooled_african@+1.00,steering_random_control,2024,macro_over_languages,243,9,0.43219755409296295,-1.2847741534391527e-05,-3.8481584715607936e-05,-3.027526454749588e-09,-0.07578230947117484,7.0,0.8238914224485598,0.00010553691769547133,-3.637652911523042e-05,0.000352995730555555,0.05720997650866962,9,0.5719860509260184,-0.000172068392095168,-0.000516205176285504,0.0,-0.06415002990995843,9,0.29985426505105406,-9.79289478428829e-06,-2.9107326748001653e-05,-1.819519869819962e-09,-0.07475580599046526,7.0
stage13_steering,dev,decoder/random/pooled_african@-0.50,steering_random_control,42,macro_over_languages,243,9,0.4093527730075661,0.005131197065873017,-5.905636111111705e-07,0.015394376716666668,0.07273510209628505,7.0,0.8385895639176955,0.00032493726337448414,-1.2094341563294575e-08,0.0008746672454732499,0.08155366335074371,9,0.5753467383168631,-0.00026456617428569665,-0.001039661530687262,0.000245963007830172,-0.04761381382817224,9,0.2857917349799536,0.0032367991914715637,-0.0003103208846209443,0.010170112000281166,0.06936381847706866,7.0
