seed,side,layer,feature,auc_toxic_vs_reference_train,auc_toxic_vs_reference_dev,auc_copy_vs_ordinary_dev,auc_template_vs_ordinary_dev,corr_token_count_dev,corr_sequence_length_dev,auc_language_max_dev,n_languages_active_dev,auc_toxic_vs_generated_dev,candidate_cross_lingual,label
1337,encoder,6,719,0.5380087491415091,0.6014496435164016,0.5958778064041221,0.42162004662004665,0.03766650065779769,0.03766650065779769,0.6233067558299039,9,0.5581635590780538,False,not a candidate
1337,encoder,6,959,0.4300234571219073,0.4058832495046487,0.4973316157526683,0.2298951048951049,-0.09474350815005711,-0.09474350815005711,0.7482424554183813,9,0.45330996291215764,False,not a candidate
1337,encoder,6,1188,0.44129166791085633,0.40788158986604345,0.5154582259845417,0.3301282051282051,0.21576181957018944,0.21576181957018944,0.7289094650205761,9,0.44140459618283123,False,not a candidate
1337,encoder,6,346,0.46782069402556725,0.41164117935951494,0.47207397865292605,0.5557983682983683,0.006167757246581098,0.006167757246581098,0.6376028806584362,9,0.42836457857033994,False,not a candidate
1337,encoder,6,933,0.45993336120318107,0.41273349252315866,0.5127438351122562,0.4561480186480187,-0.053858181900113676,-0.053858181900113676,0.7229723936899863,9,0.42096394519805586,False,not a candidate
1337,encoder,6,2790,0.46313797897153625,0.414554014462565,0.5225432462274568,0.3936480186480186,0.2642354849462227,0.2642354849462227,0.823559670781893,9,0.44441057426882763,False,not a candidate
1337,encoder,6,705,0.4841863497466829,0.4166200951751935,0.4173721015826279,0.2543706293706293,0.03196309672988494,0.03196309672988494,0.6316443758573389,9,0.4384494233602601,False,not a candidate
1337,encoder,6,1963,0.4395377752562202,0.4184152144828871,0.5122377622377622,0.2727272727272727,0.30122046069336605,0.30122046069336605,0.7749699931412896,7,0.4545462243221731,False,not a candidate
1337,encoder,6,837,0.5324215082232641,0.5780707547968635,0.47612256164887745,0.4491550116550116,-0.16070891862382197,-0.16070891862382197,0.8846450617283952,9,0.5638706836694949,False,not a candidate
1337,encoder,6,1358,0.4653916211293261,0.4238259750376805,0.5020242914979758,0.44259906759906753,-0.012964272771799568,-0.012964272771799568,0.7498070987654322,9,0.45216684448508865,False,not a candidate
1337,encoder,6,1565,0.44814383495741555,0.4249690934647496,0.4086308428413692,0.1445221445221445,0.03347430506318293,0.03347430506318293,0.7978395061728396,9,0.49511422716726783,False,not a candidate
1337,encoder,6,1821,0.464331571560811,0.42505376890379176,0.5130658814869341,0.4105477855477856,-0.10712407199880332,-0.10712407199880332,0.7224365569272977,9,0.46359802875577916,False,not a candidate
1337,encoder,6,2451,0.43836699281024283,0.42584125048688376,0.4569377990430622,0.10984848484848486,0.2289217532107466,0.2289217532107466,0.7927383401920438,8,0.4606343883893038,False,not a candidate
1337,encoder,6,360,0.5336735777253558,0.5729055530152924,0.5177585572322414,0.34761072261072257,-0.010950172106871396,-0.010950172106871396,0.5830332647462277,8,0.5525241748378465,False,not a candidate
1337,encoder,6,2142,0.46487030567250937,0.4285085268167116,0.4696816341553184,0.652972027972028,0.2677530779078522,0.2677530779078522,0.9015346364883402,9,0.4325390777151179,False,not a candidate
1337,decoder,6,1701,0.7206622465973601,0.8005216007044996,0.49392712550607293,0.46474358974358976,0.06346150651534334,0.06346150651534334,0.6613082990397805,9,0.572973293366526,True,candidate (associative; causal status untested -- Stage 11)
1337,decoder,6,1989,0.30449703031782327,0.25916611627631286,0.5126058152373941,0.3645104895104895,0.008989996147119888,0.008989996147119888,0.6910579561042525,9,0.38449423360260127,True,candidate (associative; causal status untested -- Stage 11)
1337,decoder,6,491,0.6558564257878334,0.7294619722603262,0.4735001840264998,0.4801864801864801,-0.031236999254195746,-0.031236999254195746,0.6338305898491083,8,0.5473335704245627,True,candidate (associative; causal status untested -- Stage 11)
1337,decoder,6,460,0.6131476306469208,0.6666327964910498,0.4755244755244755,0.46590909090909083,-0.07728493457012196,-0.07728493457012196,0.6197273662551439,9,0.5612203424274754,True,candidate (associative; causal status untested -- Stage 11)
1337,decoder,6,1798,0.6083821915374434,0.6565479517011296,0.5517114464482886,0.5655594405594406,0.05585094609678693,0.05585094609678693,0.7376971879286693,9,0.5235821097732392,True,candidate (associative; causal status untested -- Stage 11)
1337,decoder,6,1328,0.4080963482124622,0.3481346000779014,0.5848822230401178,0.4159382284382285,-0.4297104779874778,-0.4297104779874778,0.7175068587105624,9,0.40407966265305084,False,not a candidate
1337,decoder,6,1516,0.40244050257948066,0.3500143948246372,0.44525211630474787,0.44798951048951047,-0.4082160116905124,-0.4082160116905124,0.7102194787379972,9,0.39664515910514997,False,not a candidate
1337,decoder,6,1883,0.40451272139781785,0.35285102203254926,0.49332903938167094,0.47275641025641024,-0.13683445399928493,-0.13683445399928493,0.7578660836762688,9,0.4189825399244695,False,not a candidate
1337,decoder,6,1351,0.4027468522365185,0.3576690545140476,0.4484725800515274,0.4903846153846154,-0.20200920240182682,-0.20200920240182682,0.7534293552812071,9,0.40820335653440365,False,not a candidate
1337,decoder,6,2488,0.6103755398478712,0.6369879252823927,0.5236474052263527,0.6118881118881119,-0.12053885752359192,-0.12053885752359192,0.7452417695473252,8,0.511100950058426,False,not a candidate
1337,decoder,6,128,0.40411255734716145,0.3673051194770445,0.520702981229297,0.2768065268065268,0.28048488450221987,0.28048488450221987,0.6642661179698217,8,0.45366559975613474,False,not a candidate
1337,decoder,6,1505,0.5891805437249794,0.6307558129688903,0.5016102318733898,0.49155011655011654,-0.07131136429298585,-0.07131136429298585,0.6597222222222222,9,0.5103388711070468,False,not a candidate
1337,decoder,6,1287,0.4038369256774146,0.3722078273975851,0.5266838424733161,0.24970862470862473,0.1090985688765837,0.1090985688765837,0.8242455418381345,7,0.44479161374451726,False,not a candidate
1337,decoder,6,2665,0.5830647584985048,0.6275635489170011,0.4566617592933382,0.4682400932400932,0.019780689519753713,0.019780689519753713,0.7164780521262002,7,0.5373503361614929,False,not a candidate
1337,decoder,6,2423,0.5955221476688369,0.6235922708259243,0.5478468899521531,0.622960372960373,0.03595521159082917,0.03595521159082917,0.7433127572016461,6,0.552939084489153,False,not a candidate
1337,decoder,6,2433,0.6180301301944532,0.6233551795966061,0.4423536989326463,0.44449300699300703,0.19323627087769668,0.19323627087769668,0.8495584705075445,6,0.5354028010635234,False,not a candidate
1337,decoder,6,2713,0.4066696222351736,0.3768988467205202,0.42832167832167833,0.6046037296037297,-0.07199339703107847,-0.07199339703107847,0.7594307270233196,9,0.41507900218462634,False,not a candidate
