seed,side,layer,token_set,language,k,d_sae,expansion,n_train_tokens,tokens_per_latent,sampling,train_recon_mse,train_explained_variance,train_mean_l0,train_dead_feature_rate,train_n_alive_features,train_all_finite,dev_recon_mse,dev_explained_variance,dev_mean_l0,dev_dead_feature_rate,dev_n_alive_features,dev_all_finite
1337,decoder,8,all,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.0901031419634819,0.9129204542590397,64.0,0.0,3072,True,0.22429874539375305,0.773164673885402,64.0,0.0,3072,True
1337,decoder,8,content,multilingual_balanced,64,3072,4,25650,8.349609375,language-balanced (equal tokens per language),0.09165431559085846,0.9105693340274508,64.0,0.0,3072,True,0.23557192087173462,0.7585040512809802,64.0,0.0,3072,True
2024,encoder,4,all,multilingual_balanced,64,3072,4,36630,11.923828125,language-balanced (equal tokens per language),0.008595603518188,0.9916807521886674,63.961944580078125,0.3987630307674408,1847,True,0.009723960421979427,0.9902406972332629,63.97275924682617,0.4697265625,1629,True
2024,encoder,4,content,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.010146792978048325,0.9876050570620185,62.24348449707031,0.5380859375,1419,True,0.011429529637098312,0.9856917199964064,62.32637023925781,0.5673828125,1329,True
2024,encoder,6,all,multilingual_balanced,64,3072,4,36630,11.923828125,language-balanced (equal tokens per language),0.01272214762866497,0.9876740095787285,63.97502136230469,0.3014323115348816,2146,True,0.014970818534493446,0.9849907502960049,63.98299026489258,0.3577474057674408,1973,True
2024,encoder,6,content,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.014583406038582325,0.9822352897102338,62.85071563720703,0.3505859375,1995,True,0.01750170812010765,0.9782166844066442,62.90190505981445,0.3883463740348816,1879,True
2024,encoder,8,all,multilingual_balanced,64,3072,4,36630,11.923828125,language-balanced (equal tokens per language),0.018285837024450302,0.9823426652207174,64.0,0.0862630233168602,2807,True,0.02451721951365471,0.9754777534297642,63.999996185302734,0.1123046875,2727,True
2024,encoder,8,content,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.018450213596224785,0.9779583042750989,64.0,0.1549479216337204,2596,True,0.027381597086787224,0.966471112609314,64.0,0.1754557341337204,2533,True
2024,decoder,4,all,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.08895450830459595,0.9135234841118907,63.9988899230957,0.00032552084303461015,3071,True,0.2210274189710617,0.7794947217825858,63.99929428100586,0.00032552084303461015,3071,True
2024,decoder,4,content,multilingual_balanced,64,3072,4,25650,8.349609375,language-balanced (equal tokens per language),0.08991733193397522,0.9051949040004427,64.0,0.0,3072,True,0.23360802233219147,0.747864571730001,64.0,0.0,3072,True
2024,decoder,6,all,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.09123414754867554,0.9109148442701966,63.99982452392578,0.00032552084303461015,3071,True,0.22703683376312256,0.7715466590761145,64.0,0.0,3072,True
2024,decoder,6,content,multilingual_balanced,64,3072,4,25650,8.349609375,language-balanced (equal tokens per language),0.09281990677118301,0.9066121086500551,64.0,0.0,3072,True,0.2410697191953659,0.7499344748211607,64.0,0.0,3072,True
2024,decoder,8,all,multilingual_balanced,64,3072,4,27846,9.064453125,language-balanced (equal tokens per language),0.09176689386367798,0.9110503799753902,64.0,0.0,3072,True,0.22748109698295593,0.7696969655466449,64.0,0.0,3072,True
2024,decoder,8,content,multilingual_balanced,64,3072,4,25650,8.349609375,language-balanced (equal tokens per language),0.0930255800485611,0.909078169850626,64.0,0.0,3072,True,0.24107815325260162,0.7525989109854208,64.0,0.0,3072,True
