seed,side,layer,token_set,language,k,d_sae,expansion,n_train_tokens,tokens_per_latent,sampling,train_recon_mse,train_explained_variance,train_mean_l0,train_dead_feature_rate,train_n_alive_features,train_all_finite,dev_recon_mse,dev_explained_variance,dev_mean_l0,dev_dead_feature_rate,dev_n_alive_features,dev_all_finite,below_min_tokens,status
1337,encoder,6,content,en,64,768,1,4350,5.6640625,per-language (en),0.007369146682322025,0.9915149672582737,64.0,0.02734375,747,True,0.018887558951973915,0.9786930456463493,64.0,0.0833333358168602,704,True,False,exploratory (underdetermined)
1337,encoder,6,content,es,64,768,1,5121,6.66796875,per-language (es),0.008548920974135399,0.9882194221049433,64.0,0.01171875,759,True,0.019966406747698784,0.9719950088625031,64.0,0.0442708358168602,734,True,False,exploratory (underdetermined)
1337,encoder,6,content,hi,64,768,1,5652,7.359375,per-language (hi),0.007982522249221802,0.9893763365495092,63.999996185302734,0.0390625,738,True,0.01625833474099636,0.9765929192784015,63.999996185302734,0.0598958358168602,722,True,False,exploratory (underdetermined)
1337,encoder,6,content,uk,64,768,1,5237,6.819010416666667,per-language (uk),0.008657146245241165,0.9891174579377486,64.0,0.0221354179084301,751,True,0.020066335797309875,0.9755608013710919,64.0,0.0559895858168602,725,True,False,exploratory (underdetermined)
1337,encoder,6,content,xh,64,768,1,3094,4.028645833333333,per-language (xh),0.005383344832807779,0.9911104627268615,64.0,0.11328125,681,True,0.013381769880652428,0.9797029144025945,63.999996185302734,0.1484375,654,True,False,exploratory (underdetermined)
1337,encoder,6,content,yo,64,768,1,4721,6.147135416666667,per-language (yo),0.00479030329734087,0.9947135193779231,64.0,0.1705729216337204,637,True,0.0070372992195189,0.9921542842388942,64.0,0.2369791716337204,586,True,False,exploratory (underdetermined)
1337,decoder,6,content,am,64,768,1,10039,13.071614583333334,per-language (am),0.0953378677368164,0.9005638323858479,64.0,0.0,768,True,0.20682957768440247,0.7850702079206716,64.0,0.0,768,True,False,exploratory (underdetermined)
1337,decoder,6,content,ar,64,768,1,5926,7.716145833333333,per-language (ar),0.0673811212182045,0.9202591207566397,64.0,0.0,768,True,0.2991750240325928,0.6571757537398908,64.0,0.0,768,True,False,exploratory (underdetermined)
1337,decoder,6,content,de,64,768,1,7098,9.2421875,per-language (de),0.08472203463315964,0.902944597364931,64.0,0.0,768,True,0.298370897769928,0.6558841509617181,64.0,0.0,768,True,False,exploratory (underdetermined)
1337,decoder,6,content,en,64,768,1,4106,5.346354166666667,per-language (en),0.050301775336265564,0.9431814974306606,64.0,0.0,768,True,0.2813585698604584,0.674452436686453,64.0,0.0,768,True,False,exploratory (underdetermined)
1337,decoder,6,content,es,64,768,1,4877,6.350260416666667,per-language (es),0.07201630622148514,0.9223381434755419,64.0,0.0,768,True,0.3174596428871155,0.6462200000462945,63.999996185302734,0.0,768,True,False,exploratory (underdetermined)
1337,decoder,6,content,hi,64,768,1,5408,7.041666666666667,per-language (hi),0.06392467767000198,0.935236576204558,64.0,0.0,768,True,0.27108365297317505,0.7243157781825358,64.0,0.0,768,True,False,exploratory (underdetermined)
1337,decoder,6,content,uk,64,768,1,4993,6.501302083333333,per-language (uk),0.05989964306354523,0.930191445118015,64.0,0.0,768,True,0.332954466342926,0.6083457434771626,64.0,0.0,768,True,False,exploratory (underdetermined)
1337,decoder,6,content,xh,64,768,1,2850,3.7109375,per-language (xh),0.03703366219997406,0.9681272969668819,64.0,0.0013020833721384406,767,True,0.23347550630569458,0.7905028574823731,63.999996185302734,0.0013020833721384406,767,True,False,exploratory (underdetermined)
1337,decoder,6,content,yo,64,768,1,4477,5.829427083333333,per-language (yo),0.01925472915172577,0.9764627217644811,64.0,0.0013020833721384406,767,True,0.07219517230987549,0.9113427392698535,64.0,0.0026041667442768812,766,True,False,exploratory (underdetermined)
2024,encoder,6,content,am,64,768,1,10283,13.389322916666666,per-language (am),0.008982615545392036,0.9890539909144151,64.0,0.02734375,747,True,0.012112922966480255,0.9860141397601093,64.0,0.0598958358168602,722,True,False,exploratory (underdetermined)
2024,encoder,6,content,ar,64,768,1,6170,8.033854166666666,per-language (ar),0.008546977303922176,0.9899045601395741,64.0,0.0234375,750,True,0.016965456306934357,0.9770755543773167,64.0,0.07421875,711,True,False,exploratory (underdetermined)
2024,encoder,6,content,de,64,768,1,7342,9.559895833333334,per-language (de),0.009430214762687683,0.9871976152067359,64.0,0.03125,744,True,0.017477484419941902,0.97570052991012,63.999996185302734,0.0546875,726,True,False,exploratory (underdetermined)
2024,encoder,6,content,en,64,768,1,4350,5.6640625,per-language (en),0.0069273957051336765,0.9921886046050443,64.0,0.0325520858168602,743,True,0.015612391754984856,0.9822137729531777,64.0,0.0703125,714,True,False,exploratory (underdetermined)
2024,encoder,6,content,es,64,768,1,5121,6.66796875,per-language (es),0.009481634944677353,0.9869024990176728,64.0,0.0611979179084301,721,True,0.018063010647892952,0.97538751611552,64.0,0.09765625,693,True,False,exploratory (underdetermined)
2024,encoder,6,content,hi,64,768,1,5652,7.359375,per-language (hi),0.008475439622998238,0.9900297447599222,63.999996185302734,0.08203125,705,True,0.014471786096692085,0.9822012809808673,63.999183654785156,0.1197916716337204,676,True,False,exploratory (underdetermined)
2024,encoder,6,content,uk,64,768,1,5237,6.819010416666667,per-language (uk),0.008512617088854313,0.9897360803990563,64.0,0.02473958395421505,749,True,0.018074560910463333,0.9775460654119906,64.0,0.0677083358168602,716,True,False,exploratory (underdetermined)
