side,layer,token_set,seed,feature,train_auc_toxic_vs_reference,best_cos_seed1337,best_cos_seed2024,n_seeds_matched_at_0.5,n_seeds_matched_at_0.6,n_seeds_matched_at_0.7,n_seeds_matched_at_0.8,replicated,status,best_cos_seed42
encoder,4,all,42,1167,0.5502092726965073,0.5587742328643799,0.38288643956184387,2,1,1,1,False,seed_specific,
encoder,4,all,42,1383,0.450100115792582,0.42680975794792175,0.448714017868042,1,1,1,1,False,seed_specific,
encoder,4,all,42,783,0.5497729768647084,0.2887336015701294,0.283978670835495,1,1,1,1,False,seed_specific,
encoder,4,all,42,285,0.4509440910945883,0.5814422369003296,0.35909366607666016,2,1,1,1,False,seed_specific,
encoder,4,all,42,1530,0.4512783633763657,0.2832869291305542,0.2948963940143585,1,1,1,1,False,seed_specific,
encoder,4,all,42,2974,0.45144591424713254,0.305119127035141,0.404619038105011,1,1,1,1,False,seed_specific,
encoder,4,all,42,1736,0.4515549882050823,0.4228329360485077,0.29822254180908203,1,1,1,1,False,seed_specific,
encoder,4,all,42,417,0.5484159807034482,0.3687921464443207,0.3586062490940094,1,1,1,1,False,seed_specific,
encoder,4,all,42,515,0.4517880663965946,0.30444374680519104,0.27175790071487427,1,1,1,1,False,seed_specific,
encoder,4,all,42,419,0.4522119203320493,0.2805331349372864,0.22748568654060364,1,1,1,1,False,seed_specific,
encoder,4,all,42,734,0.45262665021018506,0.4303649961948395,0.3485357165336609,1,1,1,1,False,seed_specific,
encoder,4,all,42,1047,0.5468346156781165,0.38509902358055115,0.34669655561447144,1,1,1,1,False,seed_specific,
encoder,4,all,42,174,0.45319524487310925,0.3214603662490845,0.2444324940443039,1,1,1,1,False,seed_specific,
encoder,4,all,1337,2280,0.3901131714891457,,0.4481463134288788,1,1,1,1,False,seed_specific,0.38072267174720764
encoder,4,all,1337,2278,0.4065887306279674,,0.42624959349632263,2,2,1,1,False,seed_specific,0.6567733287811279
encoder,4,all,1337,1632,0.4179826045699915,,0.38396310806274414,1,1,1,1,False,seed_specific,0.4047161638736725
encoder,4,all,1337,1648,0.4195813882502049,,0.2978518605232239,1,1,1,1,False,seed_specific,0.28942444920539856
encoder,4,all,1337,2292,0.4239675714413688,,0.36233821511268616,1,1,1,1,False,seed_specific,0.42680975794792175
encoder,4,all,1337,1484,0.4240783043188311,,0.2858518362045288,1,1,1,1,False,seed_specific,0.3448179364204407
encoder,4,all,1337,2455,0.429271137122969,,0.316026508808136,1,1,1,1,False,seed_specific,0.3120514154434204
encoder,4,all,1337,1377,0.5695709370572759,,0.37145254015922546,1,1,1,1,False,seed_specific,0.3012544512748718
encoder,4,all,1337,872,0.43062979220374187,,0.3634539246559143,1,1,1,1,False,seed_specific,0.3502902686595917
encoder,4,all,1337,1332,0.432802147305417,,0.3326576054096222,1,1,1,1,False,seed_specific,0.28595754504203796
encoder,4,all,1337,2137,0.5657952362467278,,0.283183753490448,1,1,1,1,False,seed_specific,0.4613977074623108
encoder,4,all,1337,1285,0.43424001579291377,,0.27644193172454834,1,1,1,1,False,seed_specific,0.4184874892234802
encoder,4,all,1337,172,0.4345929509192073,,0.3284091055393219,1,1,1,1,False,seed_specific,0.360724538564682
encoder,4,all,1337,1950,0.43634228154518395,,0.23435834050178528,1,1,1,1,False,seed_specific,0.26304104924201965
encoder,4,all,1337,1616,0.4365272510708325,,0.4186062514781952,1,1,1,1,False,seed_specific,0.33898696303367615
encoder,4,all,1337,2815,0.5623604433960073,,0.2882641553878784,1,1,1,1,False,seed_specific,0.29468828439712524
encoder,4,all,1337,1821,0.43821934897362647,,0.31101924180984497,1,1,1,1,False,seed_specific,0.39690905809402466
encoder,4,all,1337,1156,0.5577295695767432,,0.24958103895187378,1,1,1,1,False,seed_specific,0.2819581627845764
encoder,4,all,1337,2872,0.44268598976114876,,0.36889684200286865,1,1,1,1,False,seed_specific,0.31023555994033813
encoder,4,all,1337,2738,0.44300450230755706,,0.24960795044898987,1,1,1,1,False,seed_specific,0.2334945797920227
encoder,4,all,1337,2795,0.44417321110414376,,0.5640886425971985,3,2,1,1,False,seed_specific,0.6121635437011719
encoder,4,all,1337,1109,0.4444519095822509,,0.4667397439479828,1,1,1,1,False,seed_specific,0.28699707984924316
encoder,4,all,1337,340,0.446043642854536,,0.5141596794128418,2,1,1,1,False,seed_specific,0.4504147171974182
encoder,4,all,1337,278,0.5536419918978371,,0.4147613048553467,1,1,1,1,False,seed_specific,0.32244592905044556
encoder,4,all,1337,75,0.4464343183997398,,0.30093246698379517,1,1,1,1,False,seed_specific,0.3650326430797577
encoder,4,all,1337,959,0.4467109432284564,,0.2985703945159912,1,1,1,1,False,seed_specific,0.3363657593727112
encoder,4,all,1337,1045,0.44710493661268547,,0.28718388080596924,1,1,1,1,False,seed_specific,0.3250243365764618
encoder,4,all,1337,460,0.5528726679738952,,0.30190223455429077,1,1,1,1,False,seed_specific,0.2908517122268677
encoder,4,all,1337,1944,0.4476652366780468,,0.3332950472831726,1,1,1,1,False,seed_specific,0.3840034604072571
encoder,4,all,1337,1620,0.5522120032780249,,0.29390084743499756,1,1,1,1,False,seed_specific,0.3962417244911194
encoder,4,all,1337,122,0.5518694363986848,,0.38147059082984924,1,1,1,1,False,seed_specific,0.41754046082496643
