side,layer,token_set,seed,feature,train_auc_toxic_vs_reference,dev_auc_toxic_vs_reference,dev_auc_toxic_vs_reference_balanced,dev_auc_toxic_vs_generated,dev_auc_copy_vs_ordinary,dev_auc_template_vs_ordinary,dev_auc_language_max,dev_language_argmax,dev_corr_token_count,dev_corr_sequence_length,cos_with_probe_direction,cos_with_mean_diff_direction,cos_with_language_control,cos_with_length_control,dev_auc_contrast_am,dev_auc_contrast_ar,dev_auc_contrast_de,dev_auc_contrast_en,dev_auc_contrast_es,dev_auc_contrast_hi,dev_auc_contrast_uk,dev_auc_contrast_xh,dev_auc_contrast_yo,replicated,status,n_seeds_matched_at_0.5,n_seeds_matched_at_0.6,n_seeds_matched_at_0.7,n_seeds_matched_at_0.8,passes_contrast,passes_controls,passes_behaviour,passes_replication,detoxification_feature,label
encoder,6,all,42,1449,0.4297339756669686,0.42977865840234386,0.42977865840234386,0.4578062287252959,0.5467239527389903,0.3176691729323309,0.6804269547325104,hi,0.10054956083970477,0.10054956083970477,-0.02784789501604219,0.13203383609244693,0.09981226437827322,0.03870220846397917,0.36968449931412894,0.43209876543209874,0.50480109739369,0.4499314128943759,0.4430727023319616,0.20438957475994515,0.4828532235939643,0.5342935528120714,0.5185185185185185,False,seed_specific,1,1,1,1,False,True,True,False,False,not promoted
encoder,6,all,42,1796,0.43016073271157024,0.4154177039407949,0.4154177039407949,0.4558502260834222,0.418546365914787,0.3493348756506651,0.7347393689986282,es,-0.13945244891643294,-0.13945244891643294,0.00472300541632327,0.005981115939420991,0.07487805314189622,-0.08608744455072947,0.411522633744856,0.3799725651577504,0.49519890260631005,0.21536351165980794,0.3196159122085048,0.6063100137174211,0.32510288065843623,0.43827160493827155,0.5308641975308641,False,seed_specific,1,1,1,1,False,True,True,False,False,not promoted
encoder,6,all,42,1153,0.5696086774761863,0.5956578434859184,0.5956578434859184,0.5635319819133262,0.5321786609380594,0.582995951417004,0.7262517146776406,yo,-0.16727937868560563,-0.16727937868560563,0.012153269909132475,-0.24086356347576315,0.07927178474812568,-0.06029223781591354,0.635116598079561,0.5596707818930041,0.5727023319615913,0.6941015089163238,0.5809327846364883,0.5747599451303155,0.5281207133058985,0.6748971193415637,0.6310013717421126,False,seed_specific,2,1,1,1,False,True,False,False,False,not promoted
encoder,6,all,42,992,0.4307882190171898,0.3932496739995597,0.3932496739995597,0.4402530102118579,0.4344790547798067,0.2686524002313476,0.7342249657064472,de,0.02549005859117029,0.02549005859117029,-0.026742088683697117,0.2831429171895573,0.0935158746357427,0.13785084051502633,0.3813443072702333,0.4403292181069959,0.4156378600823046,0.18312757201646093,0.2085048010973937,0.5089163237311385,0.4465020576131687,0.5,0.4156378600823045,False,seed_specific,1,1,1,1,False,True,True,False,False,not promoted
encoder,6,all,42,104,0.4311034137245729,0.38779657572524506,0.38779657572524506,0.4689918542227642,0.4190386680988185,0.10902255639097747,0.7496784979423867,en,-0.04450998578073179,-0.04450998578073179,-0.005987183527767175,0.13684096950335026,0.06780354085189172,-0.019057674402396745,0.401920438957476,0.50960219478738,0.4444444444444445,0.09465020576131689,0.2654320987654321,0.3861454046639232,0.247599451303155,0.5637860082304527,0.5301783264746228,False,seed_specific,2,1,1,1,False,True,True,False,False,not promoted
encoder,6,all,42,238,0.4312506428313112,0.41858456536097144,0.41858456536097144,0.4818371183254585,0.5840046544933762,0.5263157894736843,0.7776063100137175,am,0.023278538449083754,0.023278538449083754,-0.012138057536090562,0.06708915429038652,0.08775954019055235,-0.07961089924805788,0.401920438957476,0.5198902606310014,0.32235939643347056,0.4300411522633745,0.5555555555555556,0.2770919067215364,0.3251028806584362,0.23593964334705075,0.48559670781893005,False,seed_specific,1,1,1,1,False,True,False,False,False,not promoted
encoder,6,all,42,499,0.5686742910607464,0.602685904926417,0.602685904926417,0.5954884926078342,0.5573308270676692,0.6370734528629266,0.7857510288065843,xh,-0.3269795398347054,-0.3269795398347054,0.02375819481610369,-0.21226356472637153,0.13498508852468688,-0.21759916382443598,0.6172839506172839,0.532235939643347,0.5432098765432098,0.7818930041152263,0.6488340192043895,0.6364883401920438,0.5130315500685871,0.7558299039780522,0.38271604938271603,False,seed_specific,1,1,1,1,False,False,False,False,False,not promoted
encoder,6,all,42,1874,0.5679874983825536,0.5978932750766313,0.5978932750766313,0.5573760774949617,0.6209273182957393,0.5569693464430308,0.8361196844993142,am,0.11307837619546034,0.11307837619546034,0.01896899515727806,-0.18505530013854754,0.04915384463430485,-0.02185438393852411,0.5363511659807956,0.5377229080932785,0.6227709190672153,0.607681755829904,0.52400548696845,0.5967078189300412,0.5960219478737997,0.8113854595336076,0.6954732510288065,False,seed_specific,1,1,1,1,False,True,False,False,False,not promoted
encoder,6,all,42,2818,0.43211908719612746,0.41236938813527746,0.41236938813527746,0.42356348117664994,0.4749820981023989,0.30870445344129555,0.7017318244170097,de,0.04890641909003582,0.04890641909003582,-0.0033033797233551,0.03022237570192107,0.04606642995244419,-0.07618322315207084,0.4636488340192044,0.5212620027434842,0.38957475994513036,0.42798353909465014,0.262002743484225,0.3168724279835391,0.39026063100137176,0.4128943758573388,0.4876543209876543,False,seed_specific,1,1,1,1,False,True,True,False,False,not promoted
encoder,6,all,42,748,0.4327333021456465,0.3880336669545632,0.3880336669545632,0.4478314620061305,0.4821428571428571,0.1842105263157895,0.7686042524005487,uk,0.12354250477854092,0.12354250477854092,-0.004978930668647755,0.14419006627495484,0.09096462190055424,0.08407272221417239,0.205761316872428,0.47187928669410145,0.4128943758573388,0.2935528120713306,0.3443072702331962,0.3223593964334705,0.39574759945130317,0.46296296296296297,0.5349794238683128,False,seed_specific,1,1,1,1,False,True,True,False,False,not promoted
encoder,6,all,42,2765,0.433147202564026,0.4391776321360227,0.4391776321360227,0.4642838998120205,0.49471894020766205,0.37565066512434936,0.6885502400548696,ar,-0.33946378138318545,-0.33946378138318545,-0.03809185497707449,0.061204950485457585,0.11919866139087636,-0.025619533811541466,0.5939643347050755,0.4787379972565157,0.5116598079561043,0.2908093278463648,0.4677640603566529,0.48559670781893005,0.448559670781893,0.3484224965706447,0.30727023319615915,False,seed_specific,1,1,1,1,False,False,False,False,False,not promoted
encoder,6,all,42,1951,0.4335984286714377,0.39570526173178205,0.39570526173178205,0.4660112787684804,0.6211510920157537,0.3672643146327357,0.8174296982167351,am,0.3370175009594097,0.3370175009594097,-0.013156241504511121,0.16279375553921588,0.04343240318753347,0.06198439358760866,0.23045267489711935,0.448559670781893,0.4170096021947874,0.3882030178326475,0.39506172839506176,0.3360768175582991,0.382716049382716,0.40329218106995884,0.3786008230452675,False,seed_specific,1,1,1,1,False,False,False,False,False,not promoted
