seed,side,layer,contrast,source,target,transfer_type,n_train,n_dev,dev_accuracy,dev_auc,fit_split
42,decoder,6,toxic_vs_detox_reference,de,de,within_language,244,54,0.9259259259259259,0.9533607681755829,
42,decoder,6,toxic_vs_detox_reference,en,en,within_language,244,54,0.9814814814814815,0.9876543209876544,
42,decoder,6,toxic_vs_detox_reference,es,es,within_language,244,54,0.8888888888888888,0.9410150891632373,
42,decoder,6,toxic_vs_detox_reference,hi,hi,within_language,244,54,0.9629629629629629,0.9931412894375857,
42,decoder,6,toxic_vs_detox_reference,uk,uk,within_language,244,54,0.8333333333333334,0.9190672153635117,
42,decoder,6,toxic_vs_detox_reference,xh,xh,within_language,244,54,1.0,1.0,
42,decoder,6,toxic_vs_detox_reference,yo,yo,within_language,244,54,1.0,1.0,
42,decoder,6,toxic_vs_detox_reference,EN_DE_ES,yo,cross_language,732,54,0.7592592592592593,1.0,
42,decoder,6,toxic_vs_detox_reference,EN_DE_ES,xh,cross_language,732,54,0.6481481481481481,1.0,
42,decoder,6,toxic_vs_detox_reference,all_non_african,yo,cross_language,1708,54,0.8703703703703703,1.0,
42,decoder,6,toxic_vs_detox_reference,all_non_african,xh,cross_language,1708,54,0.6481481481481481,0.9972565157750344,
42,decoder,6,toxic_vs_detox_reference,YO_XH,am,cross_language,488,54,0.9629629629629629,0.9684499314128943,
42,decoder,6,toxic_vs_detox_reference,YO_XH,ar,cross_language,488,54,0.6851851851851852,0.7242798353909464,
42,decoder,6,toxic_vs_detox_reference,YO_XH,de,cross_language,488,54,0.7592592592592593,0.823045267489712,
42,decoder,6,toxic_vs_detox_reference,YO_XH,en,cross_language,488,54,0.6851851851851852,0.850480109739369,
42,decoder,6,toxic_vs_detox_reference,YO_XH,es,cross_language,488,54,0.7592592592592593,0.8436213991769547,
42,decoder,6,toxic_vs_detox_reference,YO_XH,hi,cross_language,488,54,0.7777777777777778,0.868312757201646,
42,decoder,6,toxic_vs_detox_reference,YO_XH,uk,cross_language,488,54,0.7037037037037037,0.813443072702332,
42,decoder,8,toxic_vs_detox_reference,am,am,within_language,244,54,0.9444444444444444,0.9739368998628257,
42,decoder,8,toxic_vs_detox_reference,ar,ar,within_language,244,54,0.7777777777777778,0.8998628257887518,
42,decoder,8,toxic_vs_detox_reference,de,de,within_language,244,54,0.8703703703703703,0.9163237311385459,
