seed,side,layer,contrast,language,split,standardized_cosine_mean,standardized_cosine_std,evidence_type
1337,encoder,8,toxic_vs_detox_reference,uk,dev,0.7970259785652161,0.19916501641273499,associative (correlational; no causal claim)
1337,encoder,8,toxic_vs_detox_reference,xh,dev,0.609673798084259,0.30544865131378174,associative (correlational; no causal claim)
1337,encoder,8,toxic_vs_detox_reference,yo,dev,0.724052369594574,0.2896553874015808,associative (correlational; no causal claim)
1337,decoder,4,toxic_vs_detox_reference,am,dev,0.645319402217865,0.1799965649843216,associative (correlational; no causal claim)
1337,decoder,4,toxic_vs_detox_reference,ar,dev,0.8332049250602722,0.17064277827739716,associative (correlational; no causal claim)
1337,decoder,4,toxic_vs_detox_reference,de,dev,0.8744285702705383,0.1253657341003418,associative (correlational; no causal claim)
1337,decoder,4,toxic_vs_detox_reference,en,dev,0.7889544367790222,0.1759035736322403,associative (correlational; no causal claim)
1337,decoder,4,toxic_vs_detox_reference,es,dev,0.781680166721344,0.12607674300670624,associative (correlational; no causal claim)
1337,decoder,4,toxic_vs_detox_reference,hi,dev,0.7611024379730225,0.18885372579097748,associative (correlational; no causal claim)
1337,decoder,4,toxic_vs_detox_reference,uk,dev,0.8203655481338501,0.15509597957134247,associative (correlational; no causal claim)
1337,decoder,4,toxic_vs_detox_reference,xh,dev,0.4992887079715729,0.12972554564476013,associative (correlational; no causal claim)
1337,decoder,4,toxic_vs_detox_reference,yo,dev,0.6153598427772522,0.1454448699951172,associative (correlational; no causal claim)
1337,decoder,6,toxic_vs_detox_reference,am,dev,0.6110677123069763,0.20858299732208252,associative (correlational; no causal claim)
1337,decoder,6,toxic_vs_detox_reference,ar,dev,0.843600332736969,0.17311011254787445,associative (correlational; no causal claim)
1337,decoder,6,toxic_vs_detox_reference,de,dev,0.8739989399909973,0.13243472576141357,associative (correlational; no causal claim)
1337,decoder,6,toxic_vs_detox_reference,en,dev,0.8067106604576111,0.1624174863100052,associative (correlational; no causal claim)
1337,decoder,6,toxic_vs_detox_reference,es,dev,0.7901957035064697,0.12504318356513977,associative (correlational; no causal claim)
1337,decoder,6,toxic_vs_detox_reference,hi,dev,0.759654700756073,0.20199808478355408,associative (correlational; no causal claim)
1337,decoder,6,toxic_vs_detox_reference,uk,dev,0.8299952745437622,0.14760388433933258,associative (correlational; no causal claim)
1337,decoder,6,toxic_vs_detox_reference,xh,dev,0.48387983441352844,0.14114664494991302,associative (correlational; no causal claim)
1337,decoder,6,toxic_vs_detox_reference,yo,dev,0.5152133703231812,0.17132467031478882,associative (correlational; no causal claim)
1337,decoder,8,toxic_vs_detox_reference,am,dev,0.7799563407897949,0.12464430183172226,associative (correlational; no causal claim)
1337,decoder,8,toxic_vs_detox_reference,ar,dev,0.9063096642494202,0.11331059783697128,associative (correlational; no causal claim)
1337,decoder,8,toxic_vs_detox_reference,de,dev,0.9413842558860779,0.07819896936416626,associative (correlational; no causal claim)
1337,decoder,8,toxic_vs_detox_reference,en,dev,0.8896203637123108,0.10211703181266785,associative (correlational; no causal claim)
1337,decoder,8,toxic_vs_detox_reference,es,dev,0.8934751152992249,0.08673377335071564,associative (correlational; no causal claim)
1337,decoder,8,toxic_vs_detox_reference,hi,dev,0.865768551826477,0.1232132762670517,associative (correlational; no causal claim)
1337,decoder,8,toxic_vs_detox_reference,uk,dev,0.9187503457069397,0.07883148640394211,associative (correlational; no causal claim)
1337,decoder,8,toxic_vs_detox_reference,xh,dev,0.7082077860832214,0.10186923295259476,associative (correlational; no causal claim)
1337,decoder,8,toxic_vs_detox_reference,yo,dev,0.768950343132019,0.0896901786327362,associative (correlational; no causal claim)
2024,encoder,4,toxic_vs_detox_reference,am,dev,0.5592638850212097,0.45455265045166016,associative (correlational; no causal claim)
2024,encoder,4,toxic_vs_detox_reference,ar,dev,0.7413055300712585,0.3310224115848541,associative (correlational; no causal claim)
2024,encoder,4,toxic_vs_detox_reference,de,dev,0.7727887630462646,0.39125263690948486,associative (correlational; no causal claim)
2024,encoder,4,toxic_vs_detox_reference,en,dev,0.3868827223777771,0.5980952382087708,associative (correlational; no causal claim)
2024,encoder,4,toxic_vs_detox_reference,es,dev,0.6016406416893005,0.44076651334762573,associative (correlational; no causal claim)
2024,encoder,4,toxic_vs_detox_reference,hi,dev,0.786163866519928,0.33220240473747253,associative (correlational; no causal claim)
2024,encoder,4,toxic_vs_detox_reference,uk,dev,0.735740602016449,0.2567831575870514,associative (correlational; no causal claim)
2024,encoder,4,toxic_vs_detox_reference,xh,dev,0.39515921473503113,0.5328457355499268,associative (correlational; no causal claim)
2024,encoder,4,toxic_vs_detox_reference,yo,dev,0.720077633857727,0.3732258379459381,associative (correlational; no causal claim)
2024,encoder,6,toxic_vs_detox_reference,am,dev,0.5972058773040771,0.4034523069858551,associative (correlational; no causal claim)
2024,encoder,6,toxic_vs_detox_reference,ar,dev,0.7552498579025269,0.29142364859580994,associative (correlational; no causal claim)
2024,encoder,6,toxic_vs_detox_reference,de,dev,0.7935168743133545,0.3523426949977875,associative (correlational; no causal claim)
2024,encoder,6,toxic_vs_detox_reference,en,dev,0.4237639605998993,0.5419463515281677,associative (correlational; no causal claim)
2024,encoder,6,toxic_vs_detox_reference,es,dev,0.6274041533470154,0.4071607291698456,associative (correlational; no causal claim)
2024,encoder,6,toxic_vs_detox_reference,hi,dev,0.7868334650993347,0.3113395869731903,associative (correlational; no causal claim)
2024,encoder,6,toxic_vs_detox_reference,uk,dev,0.7501811385154724,0.2204073965549469,associative (correlational; no causal claim)
2024,encoder,6,toxic_vs_detox_reference,xh,dev,0.43576133251190186,0.4670913815498352,associative (correlational; no causal claim)
2024,encoder,6,toxic_vs_detox_reference,yo,dev,0.7217704653739929,0.3391546905040741,associative (correlational; no causal claim)
2024,encoder,8,toxic_vs_detox_reference,am,dev,0.6444819569587708,0.34192243218421936,associative (correlational; no causal claim)
2024,encoder,8,toxic_vs_detox_reference,ar,dev,0.7829869389533997,0.24334439635276794,associative (correlational; no causal claim)
2024,encoder,8,toxic_vs_detox_reference,de,dev,0.8215973377227783,0.3143220841884613,associative (correlational; no causal claim)
2024,encoder,8,toxic_vs_detox_reference,en,dev,0.48460498452186584,0.47551247477531433,associative (correlational; no causal claim)
2024,encoder,8,toxic_vs_detox_reference,es,dev,0.672452449798584,0.3499917984008789,associative (correlational; no causal claim)
2024,encoder,8,toxic_vs_detox_reference,hi,dev,0.8026387095451355,0.26415035128593445,associative (correlational; no causal claim)
2024,encoder,8,toxic_vs_detox_reference,uk,dev,0.7810414433479309,0.18735650181770325,associative (correlational; no causal claim)
2024,encoder,8,toxic_vs_detox_reference,xh,dev,0.5967389345169067,0.32790645956993103,associative (correlational; no causal claim)
2024,encoder,8,toxic_vs_detox_reference,yo,dev,0.7339367866516113,0.2836332321166992,associative (correlational; no causal claim)
2024,decoder,4,toxic_vs_detox_reference,am,dev,0.6454247236251831,0.18452218174934387,associative (correlational; no causal claim)
2024,decoder,4,toxic_vs_detox_reference,ar,dev,0.8413684964179993,0.16406682133674622,associative (correlational; no causal claim)
2024,decoder,4,toxic_vs_detox_reference,de,dev,0.8694994449615479,0.12804487347602844,associative (correlational; no causal claim)
2024,decoder,4,toxic_vs_detox_reference,en,dev,0.7912110090255737,0.17068889737129211,associative (correlational; no causal claim)
2024,decoder,4,toxic_vs_detox_reference,es,dev,0.7786961793899536,0.12793242931365967,associative (correlational; no causal claim)
2024,decoder,4,toxic_vs_detox_reference,hi,dev,0.760313868522644,0.18656295537948608,associative (correlational; no causal claim)
2024,decoder,4,toxic_vs_detox_reference,uk,dev,0.8328955173492432,0.14190998673439026,associative (correlational; no causal claim)
2024,decoder,4,toxic_vs_detox_reference,xh,dev,0.48502591252326965,0.132788747549057,associative (correlational; no causal claim)
2024,decoder,4,toxic_vs_detox_reference,yo,dev,0.6171996593475342,0.14250130951404572,associative (correlational; no causal claim)
2024,decoder,6,toxic_vs_detox_reference,am,dev,0.6070941686630249,0.2128669023513794,associative (correlational; no causal claim)
