seed,side,layer,pooling,probe,scope,status,n_train,n_dev,n_dims_used,C,train_accuracy,dev_accuracy,dev_auc,control_dev_accuracy,control_dev_auc,gain_over_control,accuracy_by_behaviour,note
2024,encoder,4,pooled_mean_all,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.8119307832422586,0.7386831275720165,0.8097850937357111,0.5534979423868313,0.5690274179071618,0.18518518518518523,"{""copy_input"": 0.6619718309859155, ""generic_template"": 0.7272727272727273, ""ordinary_rewrite"": 0.7805755395683454}",
2024,encoder,4,pooled_mean_all,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
2024,encoder,4,pooled_mean_all,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,0.9990892531876139,1.0,,0.42386831275720166,,0.5761316872427984,,
2024,encoder,4,pooled_mean_content,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.8091985428051002,0.7263374485596708,0.8084980270622703,0.5534979423868313,0.5690274179071618,0.1728395061728395,"{""copy_input"": 0.6549295774647887, ""generic_template"": 0.7424242424242424, ""ordinary_rewrite"": 0.7589928057553957}",
2024,encoder,4,pooled_mean_content,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
2024,encoder,4,pooled_mean_content,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,0.9990892531876139,1.0,,0.42386831275720166,,0.5761316872427984,,
2024,encoder,6,pooled_mean_all,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.01,0.7745901639344263,0.7592592592592593,0.8202171078257041,0.5534979423868313,0.5690274179071618,0.20576131687242805,"{""copy_input"": 0.7535211267605634, ""generic_template"": 0.7575757575757576, ""ordinary_rewrite"": 0.762589928057554}",
2024,encoder,6,pooled_mean_all,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
2024,encoder,6,pooled_mean_all,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
2024,encoder,6,pooled_mean_content,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.8224043715846995,0.7530864197530864,0.8282104692712832,0.5534979423868313,0.5690274179071618,0.19958847736625518,"{""copy_input"": 0.7323943661971831, ""generic_template"": 0.6666666666666666, ""ordinary_rewrite"": 0.7841726618705036}",
2024,encoder,6,pooled_mean_content,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
2024,encoder,6,pooled_mean_content,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,0.9990892531876139,1.0,,0.42386831275720166,,0.5761316872427984,,
