direction_type,scope,side,layer,pooling,n_seeds,mean_cosine_across_seeds,min_cosine_across_seeds,max_cosine_across_seeds
mean_diff,lang_yo,encoder,8,pooled_mean_all,3,0.9287144939104716,0.9034863710403442,0.9703323841094971
mean_diff,lang_yo,encoder,8,pooled_mean_content,3,0.8777473568916321,0.8354324102401733,0.9523448348045349
mean_diff,pooled_african,decoder,4,pooled_mean_all,3,0.9747767448425293,0.9721595048904419,0.9786288738250732
mean_diff,pooled_african,decoder,4,pooled_mean_content,3,0.972795327504476,0.9701756238937378,0.977342963218689
mean_diff,pooled_african,decoder,6,pooled_mean_all,3,0.9805662234624227,0.9777314066886902,0.9833676815032959
mean_diff,pooled_african,decoder,6,pooled_mean_content,3,0.9798794587453207,0.9770568013191223,0.9826716184616089
mean_diff,pooled_african,decoder,8,pooled_mean_all,3,0.9670180082321167,0.9619666337966919,0.9714528322219849
mean_diff,pooled_african,decoder,8,pooled_mean_content,3,0.9666878581047058,0.9614089727401733,0.9713462591171265
mean_diff,pooled_african,encoder,4,pooled_mean_all,3,0.983013649781545,0.9782027006149292,0.9892870187759399
mean_diff,pooled_african,encoder,4,pooled_mean_content,3,0.8897547920544943,0.8629322052001953,0.9350727796554565
mean_diff,pooled_african,encoder,6,pooled_mean_all,3,0.9795349637667338,0.9733814001083374,0.9898892045021057
mean_diff,pooled_african,encoder,6,pooled_mean_content,3,0.901698648929596,0.8810073137283325,0.9426171779632568
mean_diff,pooled_african,encoder,8,pooled_mean_all,3,0.9720251758893331,0.964617908000946,0.9856315851211548
mean_diff,pooled_african,encoder,8,pooled_mean_content,3,0.9036362369855245,0.8846543431282043,0.9401021003723145
mean_diff,pooled_all_balanced,decoder,4,pooled_mean_all,3,0.9797965288162231,0.9774147272109985,0.9827210903167725
mean_diff,pooled_all_balanced,decoder,4,pooled_mean_content,3,0.9796549280484518,0.977465808391571,0.9827711582183838
mean_diff,pooled_all_balanced,decoder,6,pooled_mean_all,3,0.9868492484092712,0.9859991073608398,0.988209068775177
mean_diff,pooled_all_balanced,decoder,6,pooled_mean_content,3,0.9868613878885905,0.9859977960586548,0.9881710410118103
mean_diff,pooled_all_balanced,decoder,8,pooled_mean_all,3,0.9808683594067892,0.9782198667526245,0.9824516773223877
mean_diff,pooled_all_balanced,decoder,8,pooled_mean_content,3,0.9807855288187662,0.9782098531723022,0.9821968078613281
mean_diff,pooled_all_balanced,encoder,4,pooled_mean_all,3,0.8960951169331869,0.8360550403594971,0.9663416147232056
mean_diff,pooled_all_balanced,encoder,4,pooled_mean_content,3,0.9167808890342712,0.865412712097168,0.9427642226219177
mean_diff,pooled_all_balanced,encoder,6,pooled_mean_all,3,0.9260508418083191,0.8913540244102478,0.9692090749740601
mean_diff,pooled_all_balanced,encoder,6,pooled_mean_content,3,0.9279622634251913,0.8893442749977112,0.9548752903938293
mean_diff,pooled_all_balanced,encoder,8,pooled_mean_all,3,0.9371595978736877,0.9156011343002319,0.9661833643913269
mean_diff,pooled_all_balanced,encoder,8,pooled_mean_content,3,0.9300423264503479,0.8988037705421448,0.9567998647689819
mean_diff,pooled_non_african,decoder,4,pooled_mean_all,3,0.9769325852394104,0.9752890467643738,0.9800021648406982
mean_diff,pooled_non_african,decoder,4,pooled_mean_content,3,0.9773025711377462,0.9760686159133911,0.9797330498695374
mean_diff,pooled_non_african,decoder,6,pooled_mean_all,3,0.9860342741012573,0.984829306602478,0.9873075485229492
mean_diff,pooled_non_african,decoder,6,pooled_mean_content,3,0.9860457181930542,0.9851256608963013,0.9870181083679199
mean_diff,pooled_non_african,decoder,8,pooled_mean_all,3,0.9854949315388998,0.9850866794586182,0.9860231280326843
mean_diff,pooled_non_african,decoder,8,pooled_mean_content,3,0.9842827717463175,0.9839975833892822,0.9847913384437561
mean_diff,pooled_non_african,encoder,4,pooled_mean_all,3,0.9664705793062845,0.9511295557022095,0.9930275678634644
mean_diff,pooled_non_african,encoder,4,pooled_mean_content,3,0.8933496475219727,0.8183358907699585,0.9542148113250732
mean_diff,pooled_non_african,encoder,6,pooled_mean_all,3,0.9646125634511312,0.9495540857315063,0.9914557933807373
mean_diff,pooled_non_african,encoder,6,pooled_mean_content,3,0.9100106557210287,0.8548989295959473,0.9598370790481567
mean_diff,pooled_non_african,encoder,8,pooled_mean_all,3,0.9644949237505595,0.9522687196731567,0.9884264469146729
mean_diff,pooled_non_african,encoder,8,pooled_mean_content,3,0.9109329581260681,0.8644732236862183,0.9594641327857971
probe,lang_am,decoder,4,pooled_mean_all,3,0.939450204372406,0.9354790449142456,0.9428619742393494
probe,lang_am,decoder,4,pooled_mean_content,3,0.9397016565004984,0.9358708262443542,0.943059504032135
probe,lang_am,decoder,6,pooled_mean_all,3,0.9491572976112366,0.9477074146270752,0.9519236087799072
probe,lang_am,decoder,6,pooled_mean_content,3,0.9496732552846273,0.9483565092086792,0.9517689943313599
probe,lang_am,decoder,8,pooled_mean_all,3,0.9436361392339071,0.94056236743927,0.9478228688240051
probe,lang_am,decoder,8,pooled_mean_content,3,0.9431323011716207,0.9390795826911926,0.9490053653717041
probe,lang_am,encoder,4,pooled_mean_all,3,0.9244351387023926,0.905623733997345,0.957099199295044
probe,lang_am,encoder,4,pooled_mean_content,3,0.9229255318641663,0.906266450881958,0.9541537761688232
probe,lang_am,encoder,6,pooled_mean_all,3,0.9227830370267233,0.9060424566268921,0.9509603381156921
