key,direction_type,scope,source_languages,n_source_languages,n_rows_toxic,n_rows_reference,n_rows_total,seed,side,layer,pooling,space,d_model,raw_norm,normalization,language_balanced,underdetermined,is_primary,arm,norm_stats_file,injection_note,matched_to
mean_diff|lang_yo|encoder|L4|pooled_mean_all|seed42,mean_diff,lang_yo,yo,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,8.232640266418457,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_yo|encoder|L4|pooled_mean_all|seed42|match_mean_diff,random,lang_yo,yo,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|lang_yo|encoder|L4|pooled_mean_all|seed42
probe|lang_yo|encoder|L4|pooled_mean_all|seed42,probe,lang_yo,yo,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.980025053024292,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,True,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_yo|encoder|L4|pooled_mean_all|seed42|match_probe,random,lang_yo,yo,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,probe|lang_yo|encoder|L4|pooled_mean_all|seed42
mean_diff|pooled_non_african|encoder|L4|pooled_mean_all|seed42,mean_diff,pooled_non_african,am|ar|de|en|es|hi|uk,7,854,854,1708,42,encoder,4,pooled_mean_all,pooled_standardized,768,3.7579567432403564,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|pooled_non_african|encoder|L4|pooled_mean_all|seed42|match_mean_diff,random,pooled_non_african,am|ar|de|en|es|hi|uk,7,854,854,1708,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|pooled_non_african|encoder|L4|pooled_mean_all|seed42
probe|pooled_non_african|encoder|L4|pooled_mean_all|seed42,probe,pooled_non_african,am|ar|de|en|es|hi|uk,7,854,854,1708,42,encoder,4,pooled_mean_all,pooled_standardized,768,3.970754861831665,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|pooled_non_african|encoder|L4|pooled_mean_all|seed42|match_probe,random,pooled_non_african,am|ar|de|en|es|hi|uk,7,854,854,1708,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,probe|pooled_non_african|encoder|L4|pooled_mean_all|seed42
mean_diff|pooled_all_balanced|encoder|L4|pooled_mean_all|seed42,mean_diff,pooled_all_balanced,am|ar|de|en|es|hi|uk|xh|yo,9,1098,1098,2196,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.4449717998504639,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|pooled_all_balanced|encoder|L4|pooled_mean_all|seed42|match_mean_diff,random,pooled_all_balanced,am|ar|de|en|es|hi|uk|xh|yo,9,1098,1098,2196,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|pooled_all_balanced|encoder|L4|pooled_mean_all|seed42
probe|pooled_all_balanced|encoder|L4|pooled_mean_all|seed42,probe,pooled_all_balanced,am|ar|de|en|es|hi|uk|xh|yo,9,1098,1098,2196,42,encoder,4,pooled_mean_all,pooled_standardized,768,4.399901866912842,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|pooled_all_balanced|encoder|L4|pooled_mean_all|seed42|match_probe,random,pooled_all_balanced,am|ar|de|en|es|hi|uk|xh|yo,9,1098,1098,2196,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,probe|pooled_all_balanced|encoder|L4|pooled_mean_all|seed42
mean_diff|pooled_african|encoder|L4|pooled_mean_all|seed42,mean_diff,pooled_african,yo|xh,2,244,244,488,42,encoder,4,pooled_mean_all,pooled_standardized,768,8.288069725036621,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|pooled_african|encoder|L4|pooled_mean_all|seed42|match_mean_diff,random,pooled_african,yo|xh,2,244,244,488,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|pooled_african|encoder|L4|pooled_mean_all|seed42
probe|pooled_african|encoder|L4|pooled_mean_all|seed42,probe,pooled_african,yo|xh,2,244,244,488,42,encoder,4,pooled_mean_all,pooled_standardized,768,2.818530321121216,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,True,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|pooled_african|encoder|L4|pooled_mean_all|seed42|match_probe,random,pooled_african,yo|xh,2,244,244,488,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,probe|pooled_african|encoder|L4|pooled_mean_all|seed42
mean_diff|lang_am|encoder|L4|pooled_mean_content|seed42,mean_diff,lang_am,am,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,2.3257570266723633,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
