scope,side,layer,pooling,seed,cos_meandiff_probe
lang_hi,decoder,4,pooled_mean_content,42,0.6968304514884949
lang_hi,decoder,4,pooled_mean_content,1337,0.7091679573059082
lang_hi,decoder,4,pooled_mean_content,2024,0.7392538785934448
lang_hi,decoder,6,pooled_mean_all,42,0.6243062019348145
lang_hi,decoder,6,pooled_mean_all,1337,0.6432657837867737
lang_hi,decoder,6,pooled_mean_all,2024,0.6530735492706299
lang_hi,decoder,6,pooled_mean_content,42,0.6248701214790344
lang_hi,decoder,6,pooled_mean_content,1337,0.643872857093811
lang_hi,decoder,6,pooled_mean_content,2024,0.6484599113464355
lang_hi,decoder,8,pooled_mean_all,42,0.6317821145057678
lang_hi,decoder,8,pooled_mean_all,1337,0.6318688988685608
lang_hi,decoder,8,pooled_mean_all,2024,0.6752392649650574
lang_hi,decoder,8,pooled_mean_content,42,0.6397442817687988
lang_hi,decoder,8,pooled_mean_content,1337,0.6411875486373901
lang_hi,decoder,8,pooled_mean_content,2024,0.6777540445327759
lang_hi,encoder,4,pooled_mean_all,42,0.2684269845485687
lang_hi,encoder,4,pooled_mean_all,1337,0.2653043270111084
lang_hi,encoder,4,pooled_mean_all,2024,0.3903781771659851
lang_hi,encoder,4,pooled_mean_content,42,0.41195061802864075
lang_hi,encoder,4,pooled_mean_content,1337,0.4249364137649536
lang_hi,encoder,4,pooled_mean_content,2024,0.553746223449707
lang_hi,encoder,6,pooled_mean_all,42,0.3249453902244568
lang_hi,encoder,6,pooled_mean_all,1337,0.32277828454971313
lang_hi,encoder,6,pooled_mean_all,2024,0.46022409200668335
lang_hi,encoder,6,pooled_mean_content,42,0.4683120846748352
lang_hi,encoder,6,pooled_mean_content,1337,0.48359355330467224
lang_hi,encoder,6,pooled_mean_content,2024,0.5906735062599182
lang_hi,encoder,8,pooled_mean_all,42,0.38833367824554443
lang_hi,encoder,8,pooled_mean_all,1337,0.37305304408073425
lang_hi,encoder,8,pooled_mean_all,2024,0.5030012130737305
lang_hi,encoder,8,pooled_mean_content,42,0.5041622519493103
lang_hi,encoder,8,pooled_mean_content,1337,0.5039186477661133
lang_hi,encoder,8,pooled_mean_content,2024,0.5907942056655884
lang_uk,decoder,4,pooled_mean_all,42,0.7221992015838623
lang_uk,decoder,4,pooled_mean_all,1337,0.7207508087158203
lang_uk,decoder,4,pooled_mean_all,2024,0.7378321290016174
lang_uk,decoder,4,pooled_mean_content,42,0.7370626926422119
lang_uk,decoder,4,pooled_mean_content,1337,0.7298581600189209
lang_uk,decoder,4,pooled_mean_content,2024,0.7436248064041138
lang_uk,decoder,6,pooled_mean_all,42,0.6686938405036926
lang_uk,decoder,6,pooled_mean_all,1337,0.679767906665802
lang_uk,decoder,6,pooled_mean_all,2024,0.6571487188339233
lang_uk,decoder,6,pooled_mean_content,42,0.6851166486740112
lang_uk,decoder,6,pooled_mean_content,1337,0.693554162979126
lang_uk,decoder,6,pooled_mean_content,2024,0.6681118607521057
lang_uk,decoder,8,pooled_mean_all,42,0.7125582098960876
lang_uk,decoder,8,pooled_mean_all,1337,0.7069324254989624
lang_uk,decoder,8,pooled_mean_all,2024,0.7057238817214966
lang_uk,decoder,8,pooled_mean_content,42,0.7390351295471191
lang_uk,decoder,8,pooled_mean_content,1337,0.7308970093727112
lang_uk,decoder,8,pooled_mean_content,2024,0.7206385135650635
lang_uk,encoder,4,pooled_mean_all,42,0.19871528446674347
lang_uk,encoder,4,pooled_mean_all,1337,0.19827933609485626
lang_uk,encoder,4,pooled_mean_all,2024,0.2285393327474594
lang_uk,encoder,4,pooled_mean_content,42,0.31329208612442017
lang_uk,encoder,4,pooled_mean_content,1337,0.329238623380661
lang_uk,encoder,4,pooled_mean_content,2024,0.370040625333786
lang_uk,encoder,6,pooled_mean_all,42,0.25545498728752136
lang_uk,encoder,6,pooled_mean_all,1337,0.24937781691551208
lang_uk,encoder,6,pooled_mean_all,2024,0.28769034147262573
lang_uk,encoder,6,pooled_mean_content,42,0.37583255767822266
lang_uk,encoder,6,pooled_mean_content,1337,0.3950302004814148
lang_uk,encoder,6,pooled_mean_content,2024,0.43605101108551025
lang_uk,encoder,8,pooled_mean_all,42,0.31830909848213196
lang_uk,encoder,8,pooled_mean_all,1337,0.3096224069595337
lang_uk,encoder,8,pooled_mean_all,2024,0.34470146894454956
lang_uk,encoder,8,pooled_mean_content,42,0.4286271333694458
lang_uk,encoder,8,pooled_mean_content,1337,0.4460752010345459
lang_uk,encoder,8,pooled_mean_content,2024,0.4785636365413666
lang_xh,decoder,4,pooled_mean_all,42,0.8182343244552612
lang_xh,decoder,4,pooled_mean_all,1337,0.8055336475372314
lang_xh,decoder,4,pooled_mean_all,2024,0.7707493305206299
lang_xh,decoder,4,pooled_mean_content,42,0.8298584222793579
lang_xh,decoder,4,pooled_mean_content,1337,0.8192023634910583
lang_xh,decoder,4,pooled_mean_content,2024,0.7813180685043335
lang_xh,decoder,6,pooled_mean_all,42,0.7989075183868408
lang_xh,decoder,6,pooled_mean_all,1337,0.8093628287315369
lang_xh,decoder,6,pooled_mean_all,2024,0.7529672384262085
lang_xh,decoder,6,pooled_mean_content,42,0.7914963364601135
lang_xh,decoder,6,pooled_mean_content,1337,0.8058831691741943
lang_xh,decoder,6,pooled_mean_content,2024,0.751061201095581
lang_xh,decoder,8,pooled_mean_all,42,0.8235507011413574
lang_xh,decoder,8,pooled_mean_all,1337,0.8344640731811523
lang_xh,decoder,8,pooled_mean_all,2024,0.7809920907020569
lang_xh,decoder,8,pooled_mean_content,42,0.8130573034286499
lang_xh,decoder,8,pooled_mean_content,1337,0.8357347249984741
lang_xh,decoder,8,pooled_mean_content,2024,0.780890941619873
lang_xh,encoder,4,pooled_mean_all,42,0.13438381254673004
lang_xh,encoder,4,pooled_mean_all,1337,0.14173105359077454
lang_xh,encoder,4,pooled_mean_all,2024,0.14626312255859375
lang_xh,encoder,4,pooled_mean_content,42,0.46608319878578186
lang_xh,encoder,4,pooled_mean_content,1337,0.45536744594573975
lang_xh,encoder,4,pooled_mean_content,2024,0.49022769927978516
lang_xh,encoder,6,pooled_mean_all,42,0.15536263585090637
lang_xh,encoder,6,pooled_mean_all,1337,0.16827228665351868
lang_xh,encoder,6,pooled_mean_all,2024,0.17472423613071442
lang_xh,encoder,6,pooled_mean_content,42,0.44147375226020813
lang_xh,encoder,6,pooled_mean_content,1337,0.448801726102829
lang_xh,encoder,6,pooled_mean_content,2024,0.4880530834197998
lang_xh,encoder,8,pooled_mean_all,42,0.1992059350013733
lang_xh,encoder,8,pooled_mean_all,1337,0.20349720120429993
lang_xh,encoder,8,pooled_mean_all,2024,0.21768856048583984
lang_xh,encoder,8,pooled_mean_content,42,0.4008319079875946
lang_xh,encoder,8,pooled_mean_content,1337,0.400020569562912
lang_xh,encoder,8,pooled_mean_content,2024,0.4048369526863098
lang_yo,decoder,4,pooled_mean_all,42,0.9107080101966858
lang_yo,decoder,4,pooled_mean_all,1337,0.8966926336288452
lang_yo,decoder,4,pooled_mean_all,2024,0.8800112009048462
lang_yo,decoder,4,pooled_mean_content,42,0.9358536601066589
lang_yo,decoder,4,pooled_mean_content,1337,0.9224923849105835
lang_yo,decoder,4,pooled_mean_content,2024,0.900166392326355
lang_yo,decoder,6,pooled_mean_all,42,0.9018574357032776
