direction_type,side,layer,pooling,seed,lang_a,lang_b,cosine,pair_type
mean_diff,decoder,4,pooled_mean_all,2024,de,hi,0.8029654026031494,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,de,uk,0.792726457118988,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,de,xh,0.48153460025787354,cross-group
mean_diff,decoder,4,pooled_mean_all,2024,de,yo,0.42464107275009155,cross-group
mean_diff,decoder,4,pooled_mean_all,2024,en,es,0.8301534652709961,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,en,hi,0.6570980548858643,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,en,uk,0.7049763202667236,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,en,xh,0.3604641556739807,cross-group
mean_diff,decoder,4,pooled_mean_all,2024,en,yo,0.276700884103775,cross-group
mean_diff,decoder,4,pooled_mean_all,2024,es,hi,0.8129781484603882,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,es,uk,0.8179960250854492,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,es,xh,0.534892201423645,cross-group
mean_diff,decoder,4,pooled_mean_all,2024,es,yo,0.46676474809646606,cross-group
mean_diff,decoder,4,pooled_mean_all,2024,hi,uk,0.7626205086708069,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,hi,xh,0.5552486181259155,cross-group
mean_diff,decoder,4,pooled_mean_all,2024,hi,yo,0.5437655448913574,cross-group
mean_diff,decoder,4,pooled_mean_all,2024,uk,xh,0.43067073822021484,cross-group
mean_diff,decoder,4,pooled_mean_all,2024,uk,yo,0.39279767870903015,cross-group
mean_diff,decoder,4,pooled_mean_all,2024,xh,yo,0.7346480488777161,african-african
mean_diff,decoder,4,pooled_mean_content,42,am,ar,0.8059663772583008,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,am,de,0.8201024532318115,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,am,en,0.7200229167938232,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,am,es,0.8511991500854492,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,am,hi,0.8789732456207275,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,am,uk,0.7805832624435425,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,am,xh,0.5884994268417358,cross-group
mean_diff,decoder,4,pooled_mean_content,42,am,yo,0.6793357133865356,cross-group
mean_diff,decoder,4,pooled_mean_content,42,ar,de,0.798837423324585,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,ar,en,0.7468339204788208,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,ar,es,0.8389323949813843,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,ar,hi,0.7808727622032166,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,ar,uk,0.7854700088500977,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,ar,xh,0.5009046196937561,cross-group
mean_diff,decoder,4,pooled_mean_content,42,ar,yo,0.5346410274505615,cross-group
mean_diff,decoder,4,pooled_mean_content,42,de,en,0.7812272906303406,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,de,es,0.8705460429191589,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,de,hi,0.8218609690666199,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,de,uk,0.8041796684265137,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,de,xh,0.5299316644668579,cross-group
mean_diff,decoder,4,pooled_mean_content,42,de,yo,0.5360979437828064,cross-group
mean_diff,decoder,4,pooled_mean_content,42,en,es,0.8271253108978271,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,en,hi,0.6873229742050171,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,en,uk,0.6897813081741333,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,en,xh,0.4690670967102051,cross-group
mean_diff,decoder,4,pooled_mean_content,42,en,yo,0.460114061832428,cross-group
mean_diff,decoder,4,pooled_mean_content,42,es,hi,0.8346050977706909,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,es,uk,0.8154422044754028,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,es,xh,0.5942500829696655,cross-group
mean_diff,decoder,4,pooled_mean_content,42,es,yo,0.58614182472229,cross-group
mean_diff,decoder,4,pooled_mean_content,42,hi,uk,0.7910704016685486,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,42,hi,xh,0.557811975479126,cross-group
mean_diff,decoder,4,pooled_mean_content,42,hi,yo,0.6164537668228149,cross-group
mean_diff,decoder,4,pooled_mean_content,42,uk,xh,0.4640538692474365,cross-group
mean_diff,decoder,4,pooled_mean_content,42,uk,yo,0.49882978200912476,cross-group
mean_diff,decoder,4,pooled_mean_content,42,xh,yo,0.6957948207855225,african-african
mean_diff,decoder,4,pooled_mean_content,1337,am,ar,0.8158799409866333,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,am,de,0.8239110708236694,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,am,en,0.7158027291297913,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,am,es,0.8405805230140686,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,am,hi,0.8774605393409729,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,am,uk,0.7725502252578735,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,am,xh,0.6170487403869629,cross-group
mean_diff,decoder,4,pooled_mean_content,1337,am,yo,0.7118130326271057,cross-group
mean_diff,decoder,4,pooled_mean_content,1337,ar,de,0.8084722757339478,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,ar,en,0.7354234457015991,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,ar,es,0.8390673398971558,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,ar,hi,0.7955564260482788,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,ar,uk,0.7867618799209595,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,ar,xh,0.5162707567214966,cross-group
mean_diff,decoder,4,pooled_mean_content,1337,ar,yo,0.5598200559616089,cross-group
mean_diff,decoder,4,pooled_mean_content,1337,de,en,0.7830972671508789,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,de,es,0.8728443384170532,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,de,hi,0.8415351510047913,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,de,uk,0.8061907291412354,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,de,xh,0.5265384316444397,cross-group
mean_diff,decoder,4,pooled_mean_content,1337,de,yo,0.5674145221710205,cross-group
mean_diff,decoder,4,pooled_mean_content,1337,en,es,0.820569634437561,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,en,hi,0.6935111880302429,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,en,uk,0.7022597789764404,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,en,xh,0.47456076741218567,cross-group
mean_diff,decoder,4,pooled_mean_content,1337,en,yo,0.4663119912147522,cross-group
mean_diff,decoder,4,pooled_mean_content,1337,es,hi,0.8240910768508911,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,es,uk,0.8217028379440308,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,es,xh,0.581913948059082,cross-group
mean_diff,decoder,4,pooled_mean_content,1337,es,yo,0.5932180881500244,cross-group
mean_diff,decoder,4,pooled_mean_content,1337,hi,uk,0.777642011642456,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,1337,hi,xh,0.5711723566055298,cross-group
mean_diff,decoder,4,pooled_mean_content,1337,hi,yo,0.6389402747154236,cross-group
